Name	Description	SourceMTOverride	SampleMTOverride	Characteristics[organism ID]	Characteristics[country]	Characteristics[city]	Characteristics[organism]	Characteristics[parasite organism]	Characteristics[parasite strain]	Characteristics[specimen]
HB3	Sample HB3			EUSTDY0002 Subject 1	Honduras		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum HB3	specimen from organism
HB3_repeat	Sample HB3_repeat			EUSTDY0002 Subject 2	Honduras		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum HB3	specimen from organism
3D7_1	Sample 3D7_1			EUSTDY0002 Subject 3	Netherlands		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum 3D7	specimen from organism
Dd2	Sample Dd2			EUSTDY0002 Subject 4	Laos	Indochina	Homo sapiens	Plasmodium falciparum	Plasmodium falciparum Dd2	specimen from organism
K1	Sample K1			EUSTDY0002 Subject 5	Thailand		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum K1	specimen from organism
7G8	Sample 7G8			EUSTDY0002 Subject 6	Brazil		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum 7G8	specimen from organism
V1_S	Sample V1_S			EUSTDY0002 Subject 7	Vietnam		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum V1_S	specimen from organism
D10	Sample D10			EUSTDY0002 Subject 8	Papua New Guinea		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum D10	specimen from organism
Malayan	Sample Malayan			EUSTDY0002 Subject 9	Malaysia		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum Malayan	specimen from organism
SantaLucia	Sample SantaLucia			EUSTDY0002 Subject 10	El Salvador		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum SantaLucia	specimen from organism
SenP31.01	Sample SenP31.01			EUSTDY0002 Subject 11	Senegal		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum SenP31.01	specimen from organism
SenV34.04	Sample SenV34.04			EUSTDY0002 Subject 12	Senegal		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum SenV34.04	specimen from organism
SenV35.04	Sample SenV35.04			EUSTDY0002 Subject 13	Senegal		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum SenV35.04	specimen from organism
SenP51.02	Sample SenP51.02			EUSTDY0002 Subject 14	Senegal		Homo sapiens	Plasmodium falciparum	Plasmodium falciparum SenP51.02	specimen from organism
