Name	Description	SourceMTOverride	SampleMTOverride	Characteristics[organism ID]	Characteristics[country]	Characteristics[city]	Characteristics[organism]	Characteristics[parasite organism]	Characteristics[specimen]
RO33	Sample RO33			EUSTDY0003 Subject 1	Ghana		human	Plasmodium falciparum RO33	specimen from organism
M24	Sample M24			EUSTDY0003 Subject 2	Kenya		human	Plasmodium falciparum M24	specimen from organism
CF04.008_12G	Sample CF04.008_12G:  Originally labelled CF04.008_12B, but is probably 12G			EUSTDY0003 Subject 3	Malawi		human	Plasmodium falciparum CF04.008_12G	specimen from organism
CF04.008_1F	Sample CF04.008_1F:  Sibling to CF04.008_12G (and other subclones), but has a distinct barcode.			EUSTDY0003 Subject 4	Malawi		human	Plasmodium falciparum CF04.008_1F	specimen from organism
CF04.009	Sample CF04.009:  All Malawi CF04.009 subclones are single and match the parent, CF04.009. 'a0Use CF04.009 for analysis. 'a0Until otherwise determined, do not use other CF04.009 subclones for analysis.			EUSTDY0003 Subject 5	Malawi		human	Plasmodium falciparum CF04.009	specimen from organism
CF04.010	Sample CF04.010:  FIND BARCODE, Probably Mixed.			EUSTDY0003 Subject 6	Malawi		human	Plasmodium falciparum CF04.010	specimen from organism
PS189	Sample PS189			EUSTDY0003 Subject 7	Mali		human	Plasmodium falciparum PS189	specimen from organism
APO41	Sample APO41			EUSTDY0003 Subject 8	Nigeria		human	Plasmodium falciparum APO41	specimen from organism
SenP05.02	Sample SenP05.02			EUSTDY0003 Subject 9	Senegal	Pikine	human	Plasmodium falciparum SenP05.02	specimen from organism
SenP08.04	Sample SenP08.04			EUSTDY0003 Subject 10	Senegal	Pikine	human	Plasmodium falciparum SenP08.04	specimen from organism
SenP09.04	Sample SenP09.04			EUSTDY0003 Subject 11	Senegal	Pikine	human	Plasmodium falciparum SenP09.04	specimen from organism
SenP11.02	Sample SenP11.02			EUSTDY0003 Subject 12	Senegal	Pikine	human	Plasmodium falciparum SenP11.02	specimen from organism
SenP19.04	Sample SenP19.04			EUSTDY0003 Subject 13	Senegal	Pikine	human	Plasmodium falciparum SenP19.04	specimen from organism
SenP26.04	Sample SenP26.04			EUSTDY0003 Subject 14	Senegal	Pikine	human	Plasmodium falciparum SenP26.04	specimen from organism
SenP27.02	Sample SenP27.02			EUSTDY0003 Subject 15	Senegal	Pikine	human	Plasmodium falciparum SenP27.02	specimen from organism
SenP31.01	Sample SenP31.01			EUSTDY0003 Subject 16	Senegal	Pikine	human	Plasmodium falciparum SenP31.01	specimen from organism
SenP51.02	Sample SenP51.02			EUSTDY0003 Subject 17	Senegal	Pikine	human	Plasmodium falciparum SenP51.02	specimen from organism
SenP60.02	Sample SenP60.02			EUSTDY0003 Subject 18	Senegal	Pikine	human	Plasmodium falciparum SenP60.02	specimen from organism
SenT10.04	Sample SenT10.04:  Mixed sample that may be useful for population studies (Fst) but not LD, GWAS etc			EUSTDY0003 Subject 19	Senegal	Thiess	human	Plasmodium falciparum SenT10.04	specimen from organism
SenT15.04	Sample SenT15.04			EUSTDY0003 Subject 20	Senegal	Thiess	human	Plasmodium falciparum SenT15.04	specimen from organism
