Name	Description	SourceMTOverride	SampleMTOverride	Characteristics[organism ID]	Characteristics[country]	Characteristics[organism]	Characteristics[parasite organism]		Characteristics[specimen]
3D7	Sample 3D7			EUSTDY0004 Subject 1	Netherlands	human	Plasmodium falciparum 3D7		specimen from organism
HB3	Sample HB3			EUSTDY0004 Subject 2	Honduras	human	Plasmodium falciparum HB3		specimen from organism
Dd2	Sample Dd2			EUSTDY0004 Subject 3	Laos	human	Plasmodium falciparum Dd2		specimen from organism
7G8	Sample 7G8			EUSTDY0004 Subject 4	Brazil	human	Plasmodium falciparum 7G8		specimen from organism
D10	Sample D10			EUSTDY0004 Subject 5	Papua New Guinea	human	Plasmodium falciparum D10		specimen from organism
D6	Sample D6			EUSTDY0004 Subject 6	Sierra Leone	human	Plasmodium falciparum D6		specimen from organism
K1	Sample K1			EUSTDY0004 Subject 7	Thailand	human	Plasmodium falciparum K1		specimen from organism
RO-33	Sample RO-33			EUSTDY0004 Subject 8	Ghana	human	Plasmodium falciparum RO-33		specimen from organism
Santa Lucia	Sample Santa Lucia			EUSTDY0004 Subject 9	El Salvador	human	Plasmodium falciparum Santa Lucia		specimen from organism
Senegal P31.01	Sample Senegal P31.01			EUSTDY0004 Subject 10	Senegal	human	Plasmodium falciparum Senegal P31.01		specimen from organism
Senegal P51.02	Sample Senegal P51.02			EUSTDY0004 Subject 11	Senegal	human	Plasmodium falciparum Senegal P51.02		specimen from organism
Senegal V34.04	Sample Senegal V34.04			EUSTDY0004 Subject 12	Senegal	human	Plasmodium falciparum Senegal V34.04		specimen from organism
Senegal V35.04	Sample Senegal V35.04			EUSTDY0004 Subject 13	Senegal	human	Plasmodium falciparum Senegal V35.04		specimen from organism
V1/S	Sample V1/S			EUSTDY0004 Subject 14	Vietnam	human	Plasmodium falciparum V1/S		specimen from organism
Malayan Camp	Sample Malayan Camp			EUSTDY0004 Subject 15	Malaysia	human	Plasmodium falciparum Malayan Camp		specimen from organism
51	Sample 51			EUSTDY0004 Subject 16	Brazil	human	Plasmodium falciparum 51		specimen from organism
608	Sample 608			EUSTDY0004 Subject 17	Brazil	human	Plasmodium falciparum 608		specimen from organism
10/10B	Sample 10/10B			EUSTDY0004 Subject 18	Malawi	human	Plasmodium falciparum 10/10B		specimen from organism
10_54	Sample 10_54			EUSTDY0004 Subject 19	Brazil	human	Plasmodium falciparum 10_54		specimen from organism
207_89	Sample 207_89			EUSTDY0004 Subject 20	Brazil	human	Plasmodium falciparum 207_89		specimen from organism
35_26	Sample 35_26			EUSTDY0004 Subject 21	Nigeria	human	Plasmodium falciparum 35_26		specimen from organism
36_89	Sample 36_89			EUSTDY0004 Subject 22	Brazil	human	Plasmodium falciparum 36_89		specimen from organism
365_89	Sample 365_89			EUSTDY0004 Subject 23	Brazil	human	Plasmodium falciparum 365_89		specimen from organism
9_411	Sample 9_411			EUSTDY0004 Subject 24	Brazil	human	Plasmodium falciparum 9_411		specimen from organism
APO41	Sample APO41			EUSTDY0004 Subject 25	Nigeria	human	Plasmodium falciparum APO41		specimen from organism
FCC-2	Sample FCC-2			EUSTDY0004 Subject 26	China	human	Plasmodium falciparum FCC-2		specimen from organism
GH2	Sample GH2			EUSTDY0004 Subject 27	Thailand	human	Plasmodium falciparum GH2		specimen from organism
IGHCR14	Sample IGHCR14			EUSTDY0004 Subject 28	India	human	Plasmodium falciparum IGHCR14		specimen from organism
Indochina I	Sample Indochina I			EUSTDY0004 Subject 29	Indochina	human	Plasmodium falciparum Indochina I		specimen from organism
M24	Sample M24			EUSTDY0004 Subject 30	Kenya	human	Plasmodium falciparum M24		specimen from organism
Malawi CF04.008 10B	Sample Malawi CF04.008 10B			EUSTDY0004 Subject 31	Malawi	human	Plasmodium falciparum Malawi CF04.008 10B		specimen from organism
Malawi CF04.008 12G	Sample Malawi CF04.008 12G			EUSTDY0004 Subject 32	Malawi	human	Plasmodium falciparum Malawi CF04.008 12G		specimen from organism
Malawi CF04.008 1F	Sample Malawi CF04.008 1F			EUSTDY0004 Subject 33	Malawi	human	Plasmodium falciparum Malawi CF04.008 1F		specimen from organism
Malawi CF04.008 2G	Sample Malawi CF04.008 2G			EUSTDY0004 Subject 34	Malawi	human	Plasmodium falciparum Malawi CF04.008 2G		specimen from organism
Malawi CF04.008 7H	Sample Malawi CF04.008 7H			EUSTDY0004 Subject 35	Malawi	human	Plasmodium falciparum Malawi CF04.008 7H		specimen from organism
Malawi CF04.009	Sample Malawi CF04.009			EUSTDY0004 Subject 36	Malawi	human	Plasmodium falciparum Malawi CF04.009		specimen from organism
