Extract Name	Protocol REF	Assay Name
SAMN02677138	DNA Sequencing	Columbia_30101099036 (DNA Sequencing)
SAMN02677139	DNA Sequencing	Columbia_30101099038 (DNA Sequencing)
SAMN02677140	DNA Sequencing	Columbia_30101099040 (DNA Sequencing)
SAMN02677141	DNA Sequencing	Columbia_30102100437 (DNA Sequencing)
SAMN02677144	DNA Sequencing	Columbia_30102100439 (DNA Sequencing)
SAMN02677145	DNA Sequencing	Columbia_30102100440 (DNA Sequencing)
SAMN02677150	DNA Sequencing	Columbia_30102100445 (DNA Sequencing)
SAMN02677151	DNA Sequencing	Columbia_30102100446 (DNA Sequencing)
SAMN02677152	DNA Sequencing	Columbia_30102100448 (DNA Sequencing)
SAMN02677153	DNA Sequencing	Columbia_30102100449 (DNA Sequencing)
SAMN02677154	DNA Sequencing	Columbia_30102100485 (DNA Sequencing)
SAMN02677155	DNA Sequencing	Columbia_30102100486 (DNA Sequencing)
SAMN02677156	DNA Sequencing	Columbia_30102100487 (DNA Sequencing)
SAMN02677157	DNA Sequencing	Columbia_30102100488 (DNA Sequencing)
SAMN02677158	DNA Sequencing	Columbia_30102100489 (DNA Sequencing)
SAMN02677159	DNA Sequencing	Columbia_30102100490 (DNA Sequencing)
SAMN02677160	DNA Sequencing	Columbia_30102100491 (DNA Sequencing)
SAMN02677161	DNA Sequencing	Columbia_30102100492 (DNA Sequencing)
SAMN02677162	DNA Sequencing	Columbia_30102100493 (DNA Sequencing)
SAMN02677163	DNA Sequencing	Columbia_30102100504 (DNA Sequencing)
SAMN02677164	DNA Sequencing	Columbia_30103103280 (DNA Sequencing)
SAMN02677165	DNA Sequencing	Columbia_30103103295 (DNA Sequencing)
SAMN02677166	DNA Sequencing	Columbia_30111110015 (DNA Sequencing)
SAMN02677167	DNA Sequencing	Columbia_30111110020 (DNA Sequencing)
SAMN02677168	DNA Sequencing	Columbia_30111110026 (DNA Sequencing)
SAMN02677185	DNA Sequencing	Mexico_10-E-05 (DNA Sequencing)
SAMN02677179	DNA Sequencing	Mexico_1067-A (DNA Sequencing)
SAMN02677180	DNA Sequencing	Mexico_1086-A (DNA Sequencing)
SAMN02677173	DNA Sequencing	Mexico_118-A (DNA Sequencing)
SAMN02677183	DNA Sequencing	Mexico_161-04 (DNA Sequencing)
SAMN02677174	DNA Sequencing	Mexico_165-A (DNA Sequencing)
SAMN02677184	DNA Sequencing	Mexico_203-04 (DNA Sequencing)
SAMN02677172	DNA Sequencing	Mexico_21-A (DNA Sequencing)
SAMN02677175	DNA Sequencing	Mexico_267-A (DNA Sequencing)
SAMN02677143	DNA Sequencing	Columbia_30102100438-A (DNA Sequencing)
SAMN02677142	DNA Sequencing	Columbia_30102100438-B (DNA Sequencing)
SAMN02677147	DNA Sequencing	Columbia_30102100441-A (DNA Sequencing)
SAMN02677146	DNA Sequencing	Columbia_30102100441-B (DNA Sequencing)
SAMN02677148	DNA Sequencing	Columbia_30102100443-A (DNA Sequencing)
SAMN02677149	DNA Sequencing	Columbia_30102100443-B (DNA Sequencing)
SAMN02677188	DNA Sequencing	Mexico_31A-03 (DNA Sequencing)
SAMN02677182	DNA Sequencing	Mexico_32-E-03 (DNA Sequencing)
SAMN02677176	DNA Sequencing	Mexico_330-A (DNA Sequencing)
SAMN02677177	DNA Sequencing	Mexico_434-A (DNA Sequencing)
SAMN02677186	DNA Sequencing	Mexico_533-07 (DNA Sequencing)
SAMN02677181	DNA Sequencing	Mexico_55-03 (DNA Sequencing)
SAMN02677178	DNA Sequencing	Mexico_566-A (DNA Sequencing)
SAMN02677187	DNA Sequencing	Mexico_63-08 (DNA Sequencing)
SAMN02677170	DNA Sequencing	Mexico_760-A (DNA Sequencing)
SAMN02677169	DNA Sequencing	Mexico_938-A (DNA Sequencing)
SAMN02677171	DNA Sequencing	Mexico_980-A (DNA Sequencing)
SAMN02677077	DNA Sequencing	Brazil01 (DNA Sequencing)
SAMN02677083	DNA Sequencing	Brazil02 (DNA Sequencing)
SAMN02677080	DNA Sequencing	Brazil08 (DNA Sequencing)
SAMN02677079	DNA Sequencing	Brazil12 (DNA Sequencing)
