Name	Description	SourceMTOverride	SampleMTOverride	Characteristics[country]	Characteristics[organism]	Characteristics[organism ID]	Characteristics[parasite organism]	Characteristics[parasite strain]	Characteristics[specimen]
RV_3606	ERS010116:  Illumina sequencing for isolate RV_3606; library PA0007-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 1	Plasmodium falciparum	Plasmodium falciparum RV_3606	specimen from organism
RV_3614	ERS010126:  Illumina sequencing for isolate RV_3614; library PA0008-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 2	Plasmodium falciparum	Plasmodium falciparum RV_3614	specimen from organism
RV_3642	ERS010043:  Illumina sequencing for isolate RV_3642; library PA0011-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 3	Plasmodium falciparum	Plasmodium falciparum RV_3642	specimen from organism
RV_3650	ERS010127:  Illumina sequencing for isolate RV_3650; library PA0012-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 4	Plasmodium falciparum	Plasmodium falciparum RV_3650	specimen from organism
RV_3687	ERS010044:  Illumina sequencing for isolate RV_3687; library PA0015-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 5	Plasmodium falciparum	Plasmodium falciparum RV_3687	specimen from organism
RV_3701	ERS010045:  Illumina sequencing for isolate RV_3701; library PA0016-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 6	Plasmodium falciparum	Plasmodium falciparum RV_3701	specimen from organism
RV_3703	ERS010128:  Illumina sequencing for isolate RV_3703; library PA0017-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 7	Plasmodium falciparum	Plasmodium falciparum RV_3703	specimen from organism
RV_3714	ERS010046:  Illumina sequencing for isolate RV_3714; library PA0018-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 8	Plasmodium falciparum	Plasmodium falciparum RV_3714	specimen from organism
RV_3735	ERS010047:  Illumina sequencing for isolate RV_3735; library PA0020-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 9	Plasmodium falciparum	Plasmodium falciparum RV_3735	specimen from organism
RV_3737	ERS010048:  Illumina sequencing for isolate RV_3737; library PA0021-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 10	Plasmodium falciparum	Plasmodium falciparum RV_3737	specimen from organism
RV_3740	ERS010129:  Illumina sequencing for isolate RV_3740; library PA0022-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 11	Plasmodium falciparum	Plasmodium falciparum RV_3740	specimen from organism
RV_3766	ERS011006:  Illumina sequencing for isolate RV_3766; library PA0026-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 12	Plasmodium falciparum	Plasmodium falciparum RV_3766	specimen from organism
RV_3600	ERS010049:  Illumina sequencing for isolate RV_3600; library PA0027-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 13	Plasmodium falciparum	Plasmodium falciparum RV_3600	specimen from organism
RV_3610	ERS010038:  Illumina sequencing for isolate RV_3610; library PA0029-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 14	Plasmodium falciparum	Plasmodium falciparum RV_3610	specimen from organism
RV_3611	ERS009726:  Illumina sequencing for isolate RV_3611; library PA0030-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 15	Plasmodium falciparum	Plasmodium falciparum RV_3611	specimen from organism
RV_3630	ERS010130:  Illumina sequencing for isolate RV_3630; library PA0032-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 16	Plasmodium falciparum	Plasmodium falciparum RV_3630	specimen from organism
RV_3635	ERS010117:  Illumina sequencing for isolate RV_3635; library PA0034-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 17	Plasmodium falciparum	Plasmodium falciparum RV_3635	specimen from organism
RV_3637	ERS010039:  Illumina sequencing for isolate RV_3637; library PA0035-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 18	Plasmodium falciparum	Plasmodium falciparum RV_3637	specimen from organism
RV_3655	ERS010040:  Illumina sequencing for isolate RV_3655; library PA0036-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 19	Plasmodium falciparum	Plasmodium falciparum RV_3655	specimen from organism
RV_3671	ERS010041:  Illumina sequencing for isolate RV_3671; library PA0037-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 20	Plasmodium falciparum	Plasmodium falciparum RV_3671	specimen from organism
RV_3672	ERS009729:  Illumina sequencing for isolate RV_3672; library PA0038-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 21	Plasmodium falciparum	Plasmodium falciparum RV_3672	specimen from organism
RV_3673	ERS009966:  Illumina sequencing for isolate RV_3673; library PA0039-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 22	Plasmodium falciparum	Plasmodium falciparum RV_3673	specimen from organism
RV_3675	ERS010118:  Illumina sequencing for isolate RV_3675; library PA0040-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 23	Plasmodium falciparum	Plasmodium falciparum RV_3675	specimen from organism
RV_3695	ERS010119:  Illumina sequencing for isolate RV_3695; library PA0041-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 24	Plasmodium falciparum	Plasmodium falciparum RV_3695	specimen from organism
RV_3696	ERS010120:  Illumina sequencing for isolate RV_3696; library PA0042-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 25	Plasmodium falciparum	Plasmodium falciparum RV_3696	specimen from organism
RV_3702	ERS009731:  Illumina sequencing for isolate RV_3702; library PA0044-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 26	Plasmodium falciparum	Plasmodium falciparum RV_3702	specimen from organism
RV_3708	ERS009732:  Illumina sequencing for isolate RV_3708; library PA0045-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 27	Plasmodium falciparum	Plasmodium falciparum RV_3708	specimen from organism
RV_3717	ERS009733:  Illumina sequencing for isolate RV_3717; library PA0046-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 28	Plasmodium falciparum	Plasmodium falciparum RV_3717	specimen from organism
RV_3721	ERS010113:  Illumina sequencing for isolate RV_3721; library PA0047-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 29	Plasmodium falciparum	Plasmodium falciparum RV_3721	specimen from organism
RV_3729	ERS010071:  Illumina sequencing for isolate RV_3729; library PA0049-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 30	Plasmodium falciparum	Plasmodium falciparum RV_3729	specimen from organism
RV_3730	ERS009669:  Illumina sequencing for isolate RV_3730; library PA0050-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19			Gambia	human	EUSTDY0010 Subject 31	Plasmodium falciparum	Plasmodium falciparum RV_3730	specimen from organism
