Name	Description	SourceMTOverride	SampleMTOverride	Characteristics[country]	Characteristics[organism]	Parameter Value [collection year]	Characteristics[parasite organism]	Characteristics[parasite strain]	Characteristics[haplogroup]	Characteristics[specimen]
ARI	Toxoplasma gondii ARI whole genome,Human(transplant), Illumina reads submitted to SRA			USA	Homo sapiens	1992	Toxoplasma gondii	Toxoplasma gondii ARI	12	cell specimen
CAST	Toxoplasma gondii CAST whole genome,Human(AIDS), Illumina reads submitted to SRA			USA	Homo sapiens	1988	Toxoplasma gondii	Toxoplasma gondii CAST	7	cell specimen
COUG	Toxoplasma gondii COUG whole genome, Illumina reads submitted to SRA			Canada	Puma concolor couguar	1996	Toxoplasma gondii	Toxoplasma gondii COUG	11	cell specimen
FOU	Toxoplasma gondii FOU whole genome,Human(transplant), Illumina reads submitted to SRA			France	Homo sapiens	1992	Toxoplasma gondii	Toxoplasma gondii FOU	6a	cell specimen
GAB2-2007-GAL-DOM2	Toxoplasma gondii GAB2-2007-GAL-DOM2 whole genome, Illumina reads submitted to SRA			Gabon	Gallus gallus	2007	Toxoplasma gondii	Toxoplasma gondii GAB2-2007-GAL-DOM2	14	cell specimen
GT1	Toxoplasma gondii GT1 whole genome, Illumina reads submitted to SRA			USA	Ovis aries	1980	Toxoplasma gondii	Toxoplasma gondii GT1	1	cell specimen
MAS	Toxoplasma gondii MAS whole genome,Human(congenital,) Illumina reads submitted to SRA			France	Homo sapiens	1991	Toxoplasma gondii	Toxoplasma gondii MAS	4	cell specimen
p89	Toxoplasma gondii p89 whole genome, Illumina reads submitted to SRA			USA	Sus scrofa	1991	Toxoplasma gondii	Toxoplasma gondii p89	9	cell specimen
RUB	Toxoplasma gondii RUB whole genome,Human(adult), Illumina reads submitted to SRA			French Guiana	Homo sapiens	1992	Toxoplasma gondii	Toxoplasma gondii RUB	5	cell specimen
TgCat_PRC2	Toxoplasma gondii wTgCat PRC2 hole genome, Illumina reads submitted to SRA			China	Felis catus	2007	Toxoplasma gondii	Toxoplasma gondii TgCat PRC2	13	cell specimen
TgCATBr5	Toxoplasma gondii TgCATBr5 whole genome, Illumina reads submitted to SRA			Brazil	Felis catus	2006	Toxoplasma gondii	Toxoplasma gondii TgCATBr5	8	cell specimen
TgCATBr9	Toxoplasma gondii TgCATBr5 whole genome, Illumina reads submitted to SRA			Brazil	Felis catus	2006	Toxoplasma gondii	Toxoplasma gondii TgCATBr9	6b	cell specimen
