Name	Description	SourceMTOverride	SampleMTOverride	Characteristics[country]	Characteristics[organism]	Characteristics[parasite organism]	Characteristics[specimen]	Characteristics[parasite strain]
BHU568A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.			India	human	Leishmania donovani	specimen from organism	Leishmania donovani BHU568A1
BHU573A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.			India	human	Leishmania donovani	specimen from organism	Leishmania donovani BHU573A1
BPK035A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.			Nepal	human	Leishmania donovani	specimen from organism	Leishmania donovani BPK035A1
BPK043A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.			Nepal	human	Leishmania donovani	specimen from organism	Leishmania donovani BPK043A1
BPK067A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.			Nepal	human	Leishmania donovani	specimen from organism	Leishmania donovani BPK067A1
BPK080A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.			Nepal	human	Leishmania donovani	specimen from organism	Leishmania donovani BPK080A1
BPK173A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.			Nepal	human	Leishmania donovani	specimen from organism	Leishmania donovani BPK173A1
BPK178A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.			Nepal	human	Leishmania donovani	specimen from organism	Leishmania donovani BPK178A1
BPK190A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.			Nepal	human	Leishmania donovani	specimen from organism	Leishmania donovani BPK190A1
BPK206A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.			Nepal	human	Leishmania donovani	specimen from organism	Leishmania donovani BPK206A1
BPK275A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.			Nepal	human	Leishmania donovani	specimen from organism	Leishmania donovani BPK275A1
BPK294A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.			Nepal	human	Leishmania donovani	specimen from organism	Leishmania donovani BPK294A1
BPK298A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.			Nepal	human	Leishmania donovani	specimen from organism	Leishmania donovani BPK298A1
BPK085B2	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.			Nepal	human	Leishmania donovani	specimen from organism	Leishmania donovani BPK085B2
BPK087A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.			Nepal	human	Leishmania donovani	specimen from organism	Leishmania donovani BPK087A1
BPK288A1	Whole genome sequencing of 16 Leishmania donovani clinical isolates from Tim Downing.			Nepal	human	Leishmania donovani	specimen from organism	Leishmania donovani BPK288A1
BPK282A1_resequence1	Whole genome sequencing of reference Leishmania donovani clinical isolate from Tim Downing.			Nepal	human	Leishmania donovani	specimen from organism	Leishmania donovani BPK282A1
