Name	Description	SourceMTOverride	SampleMTOverride	specimen collection year	Characteristics [country]	Characteristics [fungus organism]	Characteristics[specimen]	Characteristics [fungal strain]
Candida_albicans_TWTC11	drug resistance in clinical isolates of Candida albicans			1991	USA	Candida albicans	oropharynx	Candida albicans TWTC11
Candida_albicans_3107	drug resistance in clinical isolates of Candida albicans			1996	USA	Candida albicans	oropharynx	Candida albicans 3107
Candida_albicans_2307	drug resistance in clinical isolates of Candida albicans			1995	USA	Candida albicans	oropharynx	Candida albicans 2307
Candida_albicans_580	drug resistance in clinical isolates of Candida albicans			1995	USA	Candida albicans	oropharynx	Candida albicans 580
Candida_albicans_3795	drug resistance in clinical isolates of Candida albicans			1997	USA	Candida albicans	oropharynx	Candida albicans 3795
Candida_albicans_TWTC1	drug resistance in clinical isolates of Candida albicans			1990	USA	Candida albicans	oropharynx	Candida albicans TWTC1
Candida_albicans_TWTC14	drug resistance in clinical isolates of Candida albicans			1992	USA	Candida albicans	oropharynx	Candida albicans TWTC14
Candida_albicans_3281	drug resistance in clinical isolates of Candida albicans			1996	USA	Candida albicans	oropharynx	Candida albicans 3281
Candida_albicans_3733	drug resistance in clinical isolates of Candida albicans			1996	USA	Candida albicans	oropharynx	Candida albicans 3733
Candida_albicans_TWTC6	drug resistance in clinical isolates of Candida albicans			1991	USA	Candida albicans	oropharynx	Candida albicans TWTC6
Candida_albicans_3184	drug resistance in clinical isolates of Candida albicans			1996	USA	Candida albicans	oropharynx	Candida albicans 3184
Candida_albicans_5106	drug resistance in clinical isolates of Candida albicans			1998	USA	Candida albicans	oropharynx	Candida albicans 5106
Candida_albicans_2440	drug resistance in clinical isolates of Candida albicans			1996	USA	Candida albicans	oropharynx	Candida albicans 2440
Candida_albicans_5108	drug resistance in clinical isolates of Candida albicans			1998	USA	Candida albicans	oropharynx	Candida albicans 5108
Candida_albicans_412	drug resistance in clinical isolates of Candida albicans			1995	USA	Candida albicans	oropharynx	Candida albicans 412
Candida_albicans_4639	drug resistance in clinical isolates of Candida albicans			1997	USA	Candida albicans	oropharynx	Candida albicans 4639
Candida_albicans_2501	drug resistance in clinical isolates of Candida albicans			1996	USA	Candida albicans	oropharynx	Candida albicans 2501
Candida_albicans_3119	drug resistance in clinical isolates of Candida albicans			1996	USA	Candida albicans	oropharynx	Candida albicans 3119
Candida_albicans_TWTC13	drug resistance in clinical isolates of Candida albicans			1991	USA	Candida albicans	oropharynx	Candida albicans TWTC13
Candida_albicans_TWTC17	drug resistance in clinical isolates of Candida albicans			1992	USA	Candida albicans	oropharynx	Candida albicans TWTC17
Candida_albicans_TWTC7	drug resistance in clinical isolates of Candida albicans			1991	USA	Candida albicans	oropharynx	Candida albicans TWTC7
Candida_albicans_TWTC8	drug resistance in clinical isolates of Candida albicans			1991	USA	Candida albicans	oropharynx	Candida albicans TWTC8
Candida_albicans_4018	drug resistance in clinical isolates of Candida albicans			1997	USA	Candida albicans	oropharynx	Candida albicans 4018
Candida_albicans_TWTC9	drug resistance in clinical isolates of Candida albicans			1991	USA	Candida albicans	oropharynx	Candida albicans TWTC9
Candida_albicans_1002	drug resistance in clinical isolates of Candida albicans			1995	USA	Candida albicans	oropharynx	Candida albicans 1002
Candida_albicans_3917	drug resistance in clinical isolates of Candida albicans			1997	USA	Candida albicans	oropharynx	Candida albicans 3917
Candida_albicans_1619	drug resistance in clinical isolates of Candida albicans			1995	USA	Candida albicans	oropharynx	Candida albicans 1619
Candida_albicans_2823	drug resistance in clinical isolates of Candida albicans			1996	USA	Candida albicans	oropharynx	Candida albicans 2823
Candida_albicans_TWTC5	drug resistance in clinical isolates of Candida albicans			1991	USA	Candida albicans	oropharynx	Candida albicans TWTC5
Candida_albicans_3120	drug resistance in clinical isolates of Candida albicans			1996	USA	Candida albicans	oropharynx	Candida albicans 3120
Candida_albicans_TWTC2	drug resistance in clinical isolates of Candida albicans			1990	USA	Candida albicans	oropharynx	Candida albicans TWTC2
Candida_albicans_1649	drug resistance in clinical isolates of Candida albicans			1995	USA	Candida albicans	oropharynx	Candida albicans 1649
Candida_albicans_1691	drug resistance in clinical isolates of Candida albicans			1995	USA	Candida albicans	oropharynx	Candida albicans 1691
Candida_albicans_4617	drug resistance in clinical isolates of Candida albicans			1997	USA	Candida albicans	oropharynx	Candida albicans 4617
Candida_albicans_TWTC15	drug resistance in clinical isolates of Candida albicans			1992	USA	Candida albicans	oropharynx	Candida albicans TWTC15
Candida_albicans_3731	drug resistance in clinical isolates of Candida albicans			1996	USA	Candida albicans	oropharynx	Candida albicans 3731
Candida_albicans_945	drug resistance in clinical isolates of Candida albicans			1995	USA	Candida albicans	oropharynx	Candida albicans 945
Candida_albicans_3034	drug resistance in clinical isolates of Candida albicans			1996	USA	Candida albicans	oropharynx	Candida albicans 3034
Candida_albicans_TWTC3	drug resistance in clinical isolates of Candida albicans			1990	USA	Candida albicans	oropharynx	Candida albicans TWTC3
Candida_albicans_TWTC16	drug resistance in clinical isolates of Candida albicans			1992	USA	Candida albicans	oropharynx	Candida albicans TWTC16
Candida_albicans_TWTC12	drug resistance in clinical isolates of Candida albicans			1991	USA	Candida albicans	oropharynx	Candida albicans TWTC12
Candida_albicans_TWTC4	drug resistance in clinical isolates of Candida albicans			1990	USA	Candida albicans	oropharynx	Candida albicans TWTC4
