Name	Description	SourceMTOverride	SampleMTOverride	alternative sample ID	specimen collection year	Characteristics [host_common_name]	Characteristics [country]	Characteristics [city]	BIIT test	Characteristics [organism]	Characteristics [parasite organism]	Characteristics [specimen]	Characteristics [parasite strain]
BIM_1	T. brucei population genomics of huhuman infective trypanosomes			MHOM/CM/75/BIM	1975	man	Cameroon	Campo	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei BIM_1
MOS	T. brucei population genomics of huhuman infective trypanosomes			MHOM/CM/74/MOS	1974	man	Cameroon	Mbam	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei MOS
B4_4163P	T. brucei population genomics of huhuman infective trypanosomes				2004	man	Ivory Coast	Bonon	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei B4_4163P
B4_F303P	T. brucei population genomics of huhuman infective trypanosomes				2004	man	Ivory Coast	Bonon	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei B4_F303P
B4_G2P	T. brucei population genomics of huhuman infective trypanosomes				2004	man	Ivory Coast	Bonon	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei B4_G2P
B4_I314P	T. brucei population genomics of huhuman infective trypanosomes				2004	man	Ivory Coast	Bonon	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei B4_I314P
CB5_1	T. brucei population genomics of huhuman infective trypanosomes				2002	man	Ivory Coast	Bonon	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei CB5_1
S1_1_6R	T. brucei population genomics of huhuman infective trypanosomes				2002	man	Ivory Coast	Bonon	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei S1_1_6R
S14_5_1	T. brucei population genomics of huhuman infective trypanosomes			MHOM/CI/02/S14/5/1	2002	man	Ivory Coast	Bonon	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei S14_5_1
S15_1_KIVI	T. brucei population genomics of huhuman infective trypanosomes				2002	man	Ivory Coast	Bonon	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei S15_1_KIVI
S27_16_13	T. brucei population genomics of huhuman infective trypanosomes				2000	man	Ivory Coast	Bonon	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei S27_16_13
S27_2_6	T. brucei population genomics of huhuman infective trypanosomes				2000	man	Ivory Coast	Bonon	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei S27_2_6
S3_4_1	T. brucei population genomics of huhuman infective trypanosomes				2000	man	Ivory Coast	Bonon	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei S3_4_1
S7_2_2	T. brucei population genomics of huhuman infective trypanosomes				2002	man	Ivory Coast	Bonon	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei S7_2_2
T33_1_7_KIVI	T. brucei population genomics of huhuman infective trypanosomes				2000	man	Ivory Coast	Bonon	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei T33_1_7_KIVI
T66_4_2	T. brucei population genomics of huhuman infective trypanosomes				2000	man	Ivory Coast	Bonon	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei T66_4_2
DEOLA	T. brucei population genomics of huhuman infective trypanosomes			MHOM/CI/84/DAL629	1984	man	Ivory Coast	Daloa	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei DEOLA
ISTI	T. brucei population genomics of huhuman infective trypanosomes			MHOM/CI/83/DAL607	1983	man	Ivory Coast	Daloa	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei ISTI
LIGO	T. brucei population genomics of huhuman infective trypanosomes			MHOM/CI/84/DAL655	1984	man	Ivory Coast	Daloa	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei LIGO
LISA	T. brucei population genomics of huhuman infective trypanosomes			MHOM/CI/83/DAL642	1983	man	Ivory Coast	Daloa	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei LISA
SAKON	T. brucei population genomics of huhuman infective trypanosomes			MHOM/CI/83/DAL403	1983	man	Ivory Coast	Daloa	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei SAKON
SEVAL	T. brucei population genomics of huhuman infective trypanosomes			MHOM/CI/84/DAL633	1984	man	Ivory Coast	Daloa	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei SEVAL
TOBO	T. brucei population genomics of huhuman infective trypanosomes			DAL596	1983	man	Ivory Coast	Daloa	Human Serum Resistance	Homo sapiens	Trypanosoma brucei	field isolates	Trypanosoma brucei TOBO
