Name	Description	SourceMTOverride	SampleMTOverride	Characteristics [organism]	Characteristics [health_status]	specimen collection year	Characteristics [country]	Characteristics [city]	Characteristics [specimen]	specimen collector	Characteristics [parasite genotype]	Mating type	Characteristics [fungus organism]	Characteristics [fungal strain]
T10B1	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			D. novemcinctus (armadillo)		not collected	Brazil	Botucatu	whole organism	Eduardo Bagagli	PS2	mat1-2	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis T10B1
Pb262	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			Dog food		not collected	Brazil	Uberlandia	whole organism	Zoilo Pires de Camargo	PS2	mat1-2	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis Pb262
Pb03_resequence1	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			Human	chronic PCM	not collected	Brazil	Sao Paulo	whole organism	Rosana Puccia	PS2	mat1-2	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis Pb03_resequence1
Pb02	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			Human	chronic PCM	not collected	Venezuela	Caracas	whole organism	Rosana Puccia	PS2	mat1-1	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis Pb02
PbJam	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			Human	chronic PCM	not collected	Colombia		whole organism	Angela Restrepo	PS3	mat1-2	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis PbJam
PbCab	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			C. centralis (armadillo)		not collected	Colombia	Caldas	whole organism	Angela Restrepo	PS3	mat1-1	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis PbCab
PbBac	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			Human	PCM	not collected	Colombia		whole organism	Angela Restrepo	PS3	mat1-1	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis PbBac
Pb60855	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			Human	chronic PCM	not collected	Colombia	Antioquia	whole organism	Angela Restrepo	PS3	mat1-2	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis Pb60855
Pb339	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			Human	PCM	not collected	Brazil	Sao Paulo	whole organism	Angela Restrepo	PS3	mat1-1	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis Pb339
EPM83	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			Human	chronic PCM	not collected	Colombia	Bogota	whole organism	Angela Restrepo	PS3	mat1-2	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis EPM83
T16B1	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			D. novemcinctus (armadillo)		not collected	Brazil		whole organism	Eduardo Bagagli	S1a	mat1-1	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis T16B1
T15N1	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			D. novemcinctus (armadillo)		not collected	Brazil	Botucatu	whole organism	Eduardo Bagagli	S1a	mat1-2	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis T15N1
T1F1	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			D. novemcinctus (armadillo)		not collected	Brazil	Pratanea	whole organism	Eduardo Bagagli	S1a	mat1-1	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis T1F1
D02	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			Human	PCM	not collected	Brazil	Laranjal Paulista	whole organism	Eduardo Bagagli	S1a	mat1-1	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis D02
PbBer	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			Human	PCM	not collected	Argentina		whole organism	Ricardo Negroni	S1a	mat1-1	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis PbBer
Pb66	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			Human	PCM	not collected	Brazil		whole organism	Celia de Almeida Soares	S1a	mat1-2	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis Pb66
Pb337	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			D. novemcinctus (armadillo)		not collected	Brazil		whole organism	Eduardo Bagagli	S1a	mat1-2	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis Pb337
Pb1445	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			Human	chronic PCM	not collected	Argentina		whole organism	Ricardo Negroni	S1a	mat1-1	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis Pb1445
MS2	Genome diversity, recombination, and virulence across the major lineages of Paracoccidioides			Human	PCM	not collected	Brazil	Mato Grosso do Sul	whole organism	Maria Sueli Felipe	S1a	mat1-2	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis MS2
