Name	Description	SourceMTOverride	SampleMTOverride	Group	VNI subdivision	Characteristics[mating type]	Characteristics[country]	Characteristics [specimen]	Characteristics [health_status]	Characteristics [organism]	Characteristics [reference]	In GWAS	Phenotyped	Characteristics [fungus organism]	Characteristics [fungal strain]	Lineage	Fluconazole Ave+Std Dev	Paraquat Ave+Std Dev	H2O2	LDOPA Ave+Std Dev
8-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNII		_	USA	specimen from organism		Human	Litvintseva et al 2011 PLoS One, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii 8-1					
AD3-11a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNII		_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD3-11a					
AD3-9a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNII		_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD3-9a					
AD5-67a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNII		_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD5-67a					
C12	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNII		_	USA	lung	HIV-	Human	Litvintseva et al 2009 Infect Immun, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii C12					
C2	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNII		_	USA	specimen from organism		Human	Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii C2					
C45	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNII		_	USA	sputum	HIV-	Human	Litvintseva et al 2009 Infect Immun, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii C45					
LP-RSA1684	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNII		_	S. Africa	specimen from organism		Human	Litvintseva et al 2011 PLoS One	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii LP-RSA1684					
MW-RSA1327	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNII		_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA1327					
MW-RSA3956	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNII		_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA3956					
MW-RSA4119	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNII		_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA4119					
MW-RSA852	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNII		_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA852					
PMHc1023.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNII		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1023.ENR					
T4	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNII		_	USA	oak tree		oak tree	This study	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii T4					
Ug2462	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNII		_	Uganda	specimen from organism		Human	Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ug2462					
WM626	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNII		_	Australia	specimen from organism		Human	Litvintseva et al 2006 Genetics, Meyer et al 2009 Med Mycol	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii WM626					
Bt102	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt102	VNBI	0.352 +/- 0.290	0.523 +/- 0.282	0	0.683 +/- 0.049
Bt142	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt142	VNBI	0.015 +/- 0.021	0.927 +/- 0.326	0.551	0.096 +/- 0.006
Bt147	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt147	VNBI	0.040 +/- 0.005	1.055 +/- 0.103	0.079	0.258 +/- 0.060
Bt148	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt148	VNBI	0.000 +/- 0.000	0.557 +/- 0.500	0	0.257 +/- 0.054
Bt154	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt154	VNBI	0.140 +/- 0.158	0.069 +/- 0.118	0.548	0.195 +/- 0.021
