Name	Description	SourceMTOverride	SampleMTOverride	Characteristics [country]	specimen collection year	Characteristics[specimen]	Characteristics [fungus organism]	Characteristics [fungal strain]	
CDC_B8441	Aligned genome sequence reads - Candida auris isolates			Pakistan	2008	Blood	Candida auris	CDC_B8441
CDC_B11096	Aligned genome sequence reads - Candida auris isolates			Pakistan	2014	Blood	Candida auris	CDC_B11096
CDC_B11097	Aligned genome sequence reads - Candida auris isolates			Pakistan	2014	Urine	Candida auris	CDC_B11097
CDC_B11098	Aligned genome sequence reads - Candida auris isolates			Pakistan	2014	Blood	Candida auris	CDC_B11098
CDC_B11099	Aligned genome sequence reads - Candida auris isolates			Pakistan	2014	Blood	Candida auris	CDC_B11099
CDC_B11100	Aligned genome sequence reads - Candida auris isolates			Pakistan	2014	Blood	Candida auris	CDC_B11100
CDC_B11101	Aligned genome sequence reads - Candida auris isolates			Pakistan	2014	Blood	Candida auris	CDC_B11101
CDC_B11103	Aligned genome sequence reads - Candida auris isolates			Pakistan	2015	Urine	Candida auris	CDC_B11103
CDC_B11104	Aligned genome sequence reads - Candida auris isolates			Pakistan	2015	Urine	Candida auris	CDC_B11104
CDC_B11105	Aligned genome sequence reads - Candida auris isolates			Pakistan	2015	Central venous catheter tip	Candida auris	CDC_B11105
CDC_B11107	Aligned genome sequence reads - Candida auris isolates			Pakistan	2015	Urine	Candida auris	CDC_B11107
CDC_B11109	Aligned genome sequence reads - Candida auris isolates			Pakistan	2015	Burn wound	Candida auris	CDC_B11109
CDC_B11111	Aligned genome sequence reads - Candida auris isolates			Pakistan	2015	Burn wound	Candida auris	CDC_B11111
CDC_B11112	Aligned genome sequence reads - Candida auris isolates			Pakistan	2015	Burn wound	Candida auris	CDC_B11112
CDC_B11113	Aligned genome sequence reads - Candida auris isolates			Pakistan	2015	Urine	Candida auris	CDC_B11113
CDC_B11114	Aligned genome sequence reads - Candida auris isolates			Pakistan	2015	Blood	Candida auris	CDC_B11114
CDC_B11115	Aligned genome sequence reads - Candida auris isolates			Pakistan	2015	Urine	Candida auris	CDC_B11115
CDC_B11116	Aligned genome sequence reads - Candida auris isolates			Pakistan	2015	Urine	Candida auris	CDC_B11116
CDC_B11117	Aligned genome sequence reads - Candida auris isolates			Pakistan	2015	Blood	Candida auris	CDC_B11117
CDC_B11200	Aligned genome sequence reads - Candida auris isolates			India	2012	Blood	Candida auris	CDC_B11200
CDC_B11201	Aligned genome sequence reads - Candida auris isolates			India	2012	Blood	Candida auris	CDC_B11201
CDC_B11202	Aligned genome sequence reads - Candida auris isolates			India	2012	Blood	Candida auris	CDC_B11202
CDC_B11203	Aligned genome sequence reads - Candida auris isolates			India	2013	bronchoalveolar lavage	Candida auris	CDC_B11203
CDC_B11204	Aligned genome sequence reads - Candida auris isolates			India	2013	Central venous catheter tip	Candida auris	CDC_B11204
CDC_B11205	Aligned genome sequence reads - Candida auris isolates			India	2013	Chest wound	Candida auris	CDC_B11205
CDC_B11206	Aligned genome sequence reads - Candida auris isolates			India	2013	Tissue	Candida auris	CDC_B11206
CDC_B11207	Aligned genome sequence reads - Candida auris isolates			India	2013	Tissue	Candida auris	CDC_B11207
CDC_B11208	Aligned genome sequence reads - Candida auris isolates			India	2013	Tissue	Candida auris	CDC_B11208
CDC_B11209	Aligned genome sequence reads - Candida auris isolates			India	2013	bronchoalveolar lavage	Candida auris	CDC_B11209
CDC_B11210	Aligned genome sequence reads - Candida auris isolates			India	2013	Tissue 	Candida auris	CDC_B11210
CDC_B11211	Aligned genome sequence reads - Candida auris isolates			India	2013	Blood	Candida auris	CDC_B11211
CDC_B11212	Aligned genome sequence reads - Candida auris isolates			India	2014	Pericardial fluid	Candida auris	CDC_B11212
CDC_B11213	Aligned genome sequence reads - Candida auris isolates			India	2014	bronchoalveolar lavage	Candida auris	CDC_B11213
CDC_B11214	Aligned genome sequence reads - Candida auris isolates			India	2014	Blood 	Candida auris	CDC_B11214
CDC_B11215	Aligned genome sequence reads - Candida auris isolates			India	2014	Blood 	Candida auris	CDC_B11215
CDC_B11216	Aligned genome sequence reads - Candida auris isolates			India	2014	Blood 	Candida auris	CDC_B11216
