Name	Description	SourceMTOverride	SampleMTOverride	Characteristics [country]	Characteristics [city]	specimen collection year	Characteristics [parasite organism]	Characteristics [parasite strain]	Characteristics [organism]	Characteristics [host_common_name]	
BD09	Genomic diversity in Leishmania donovani in Indian subcontinent			Bangladesh	Muktagacha	2006	Leishmania donovani	Leishmania donovani BD09	Homo sapiens	human
BD12	Genomic diversity in Leishmania donovani in Indian subcontinent			Bangladesh	Fulbaria	2006	Leishmania donovani	Leishmania donovani BD12	Homo sapiens	human
BD14	Genomic diversity in Leishmania donovani in Indian subcontinent			Bangladesh	Fulbaria	2006	Leishmania donovani	Leishmania donovani BD14	Homo sapiens	human
BD15	Genomic diversity in Leishmania donovani in Indian subcontinent			Bangladesh	Guforgaon	2006	Leishmania donovani	Leishmania donovani BD15	Homo sapiens	human
BD17	Genomic diversity in Leishmania donovani in Indian subcontinent			Bangladesh	Fulbaria	2006	Leishmania donovani	Leishmania donovani BD17	Homo sapiens	human
BD21	Genomic diversity in Leishmania donovani in Indian subcontinent			Bangladesh	Fulbaria	2006	Leishmania donovani	Leishmania donovani BD21	Homo sapiens	human
BD24	Genomic diversity in Leishmania donovani in Indian subcontinent			Bangladesh	Fulbaria	2006	Leishmania donovani	Leishmania donovani BD24	Homo sapiens	human
BD25	Genomic diversity in Leishmania donovani in Indian subcontinent			Bangladesh	Fulbaria	2006	Leishmania donovani	Leishmania donovani BD25	Homo sapiens	human
BHU1011_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Beruwa, Saraiya, Bangra Ravi	2010	Leishmania donovani	Leishmania donovani BHU1011_0	Homo sapiens	human
BHU1032_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Karnaul, Sahebganj, Malhur Sikandar	2010	Leishmania donovani	Leishmania donovani BHU1032_0	Homo sapiens	human
BHU1042_1	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Dewariya, Paru, Dewariya Kothi	2010	Leishmania donovani	Leishmania donovani BHU1042_1	Homo sapiens	human
BHU1052_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Marwan, Karja, Makdumpur Kodariya	2010	Leishmania donovani	Leishmania donovani BHU1052_0	Homo sapiens	human
BHU1062_4	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Chainpur, Maniyari, Chainpur	2010	Leishmania donovani	Leishmania donovani BHU1062_4	Homo sapiens	human
BHU1065_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Marwan, Karja, Mokadampur Kodariya	2010	Leishmania donovani	Leishmania donovani BHU1065_0	Homo sapiens	human
BHU1080_1	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Sohashi, Devaria Kothi, Chand Kewari	2010	Leishmania donovani	Leishmania donovani BHU1080_1	Homo sapiens	human
BHU1081_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Kerma, Kudhani, Kerma	2010	Leishmania donovani	Leishmania donovani BHU1081_0	Homo sapiens	human
BHU1092_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Dharbhanga, Ladora, Simri, Harpur Hanuman Nagar	2010	Leishmania donovani	Leishmania donovani BHU1092_0	Homo sapiens	human
BHU1104_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Dharbhanga, Ladora, Simri, Harpur Hanuman Nagar	2010	Leishmania donovani	Leishmania donovani BHU1104_0	Homo sapiens	human
BHU1113_7	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Motiour, nariyar Panapur	2010	Leishmania donovani	Leishmania donovani BHU1113_7	Homo sapiens	human
BHU1139_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Uttar Paradesh, Jaunpur	2010	Leishmania donovani	Leishmania donovani BHU1139_0	Homo sapiens	human
BHU1146_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Aurai, Ratwara	2010	Leishmania donovani	Leishmania donovani BHU1146_0	Homo sapiens	human
BHU1153_1	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Sitamadhi, lalpur, Runni saidpur, kauria lalpur	2010	Leishmania donovani	Leishmania donovani BHU1153_1	Homo sapiens	human
BHU1163_4	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Karnaul, sahebganj, Baluahi Sikandar	2010	Leishmania donovani	Leishmania donovani BHU1163_4	Homo sapiens	human
BHU1164_4	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Jaitpur, Karza, Amitha Panapur	2010	Leishmania donovani	Leishmania donovani BHU1164_4	Homo sapiens	human
BHU1199_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, sabai Patti, Rampur ratan	2010	Leishmania donovani	Leishmania donovani BHU1199_0	Homo sapiens	human
BHU1216_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, saraiya, naya tola mohammadpur	2011	Leishmania donovani	Leishmania donovani BHU1216_0	Homo sapiens	human
BHU171_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Chajan, Kudhani, Chajan	2005	Leishmania donovani	Leishmania donovani BHU171_0	Homo sapiens	human
BHU172_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Uttar Pradesh, Varanasi	2005	Leishmania donovani	Leishmania donovani BHU172_0	Homo sapiens	human
BHU180_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Vaishali, Bhagwanpur, Sahtha	2006	Leishmania donovani	Leishmania donovani BHU180_0	Homo sapiens	human
BHU188_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Pilki, Dholi Sakra, Pilki	2006	Leishmania donovani	Leishmania donovani BHU188_0	Homo sapiens	human
