Name	Description	SourceMTOverride	SampleMTOverride	Characteristics [country]	specimen collection year	Characteristics [parasite organism]	Characteristics [parasite strain]
BANANCL2	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Burkina Faso	1983	Trypanosoma congolense	Trypanosoma congolense BANANCL2
DIND	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Burkina Faso	1986	Trypanosoma congolense	Trypanosoma congolense DIND
MATADI	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Congo	1988	Trypanosoma congolense	Trypanosoma congolense MATADI
TRT21	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Zambia	1996	Trypanosoma congolense	Trypanosoma congolense TRT21
TRT25K1	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Zambia	1996	Trypanosoma congolense	Trypanosoma congolense TRT25K1
ZRE-AGRIUMBE	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Congo	1990	Trypanosoma congolense	Trypanosoma congolense ZRE-AGRIUMBE
ZRE-NKUIYI	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Congo	1990	Trypanosoma congolense	Trypanosoma congolense ZRE-NKUIYI
ALME	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Cameroon	2005	Trypanosoma congolense	Trypanosoma congolense ALME
BEKA	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Cameroon	2005	Trypanosoma congolense	Trypanosoma congolense BEKA
EATRO1157C2	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Uganda	1991	Trypanosoma congolense	Trypanosoma congolense EATRO1157C2
GUTR28X1	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Gambia	1975	Trypanosoma congolense	Trypanosoma congolense GUTR28X1
GUTR37K1	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Gambia	1975	Trypanosoma congolense	Trypanosoma congolense GUTR37K1
KARAN_ALL	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Burkina Faso	1986	Trypanosoma congolense	Trypanosoma congolense KARAN_ALL
KONT1-129	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Cameroon	2005	Trypanosoma congolense	Trypanosoma congolense KONT1-129
KONT2-133	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Cameroon	2005	Trypanosoma congolense	Trypanosoma congolense KONT2-133
KONT2-155	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Cameroon	2005	Trypanosoma congolense	Trypanosoma congolense KONT2-155
MALI-1312-95	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Mali	1995	Trypanosoma congolense	Trypanosoma congolense MALI-1312-95
MALI25239K1	Genomic diversity of 56 Trypanosoma congolense field isolates from 10 African countries			Mali	1995	Trypanosoma congolense	Trypanosoma congolense MALI25239K1
