Name	Description	SourceMTOverride	SampleMTOverride	Host_common_name	Country	City
TgPgBrPI_1				pig	Brazil	Alto Medio Caninde
TgPgBrPI_8				pig	Brazil	Floriano
TgPgBrPI_2				pig	Brazil	Alto Medio Caninde
TgPgBrPI_3				pig	Brazil	Alto Medio Caninde
TgPgBrPI_5				pig	Brazil	Alto Medio Caninde
TgPgBrPI_13				pig	Brazil	Alto Medio Caninde
TgGtBrPI_1				goat	Brazil	Litoral do Piaui
TgPgBrPI_4				pig	Brazil	Alto Medio Caninde
TgPgBrPI_6				pig	Brazil	Litoral do Piaui
TgPgBrPI_7				pig	Brazil	Litoral do Piaui
TgGtBrPI_2				goat	Brazil	Litoral do Piaui
TgPgBrPI_10				pig	Brazil	Alto Medio Caninde
TgPgBrPI_12				pig	Brazil	Alto Medio Caninde
TgPgBrPI_14				pig	Brazil	Alto Medio Caninde
TgGtBrPI_9				goat	Brazil	Alto Medio Caninde
TgPgBrPI_15				pig	Brazil	Litoral do Piaui
TgGtBrPI_3				goat	Brazil	Alto Medio Caninde
TgGtBrPI_4				goat	Brazil	Alto Medio Caninde
TgGtBrPI_5				goat	Brazil	Alto Medio Caninde
TgGtBrPI_6				goat	Brazil	Alto Medio Caninde
TgGtBrPI_7				goat	Brazil	Alto Medio Caninde
TgGtBrPI_8				goat	Brazil	Alto Medio Caninde
TgPgBrPI_9				pig	Brazil	Litoral do Piaui
TgPgBrPI_11				pig	Brazil	Floriano
TgPgBrPI_16				pig	Brazil	Litoral do Piaui
