Name	Description	SourceMTOverride	SourceMTOverride	Lineage	Characteristics[country]	Characteristics[mating type]	Characteristics [organism]	Characteristics [specimen]	Characteristics [fungus organism]	Characteristics [fungal strain]
Zc01	Zambian Cng Isolate			VNI	Zambia	alpha	Homo sapiens	Clinical	Cryptococcus neoformans	Cryptococcus neoformans Zc01
Zc02	Zambian Cng Isolate			VNI	Zambia	alpha	Homo sapiens	Clinical	Cryptococcus neoformans	Cryptococcus neoformans Zc02
Zc04	Zambian Cng Isolate			VNB-II	Zambia	alpha	Homo sapiens	Clinical	Cryptococcus neoformans	Cryptococcus neoformans Zc04
Zc05	Zambian Cng Isolate			VNI	Zambia	alpha	Homo sapiens	Clinical	Cryptococcus neoformans	Cryptococcus neoformans Zc05
Zc06	Zambian Cng Isolate			VNII	Zambia	alpha	Homo sapiens	Clinical	Cryptococcus neoformans	Cryptococcus neoformans Zc06
Zc07	Zambian Cng Isolate			VNB-II	Zambia	alpha	Homo sapiens	Clinical	Cryptococcus neoformans	Cryptococcus neoformans Zc07
Zc08	Zambian Cng Isolate			VNI	Zambia	alpha	Homo sapiens	Clinical	Cryptococcus neoformans	Cryptococcus neoformans Zc08
Zc10	Zambian Cng Isolate			VNI	Zambia	alpha	Homo sapiens	Clinical	Cryptococcus neoformans	Cryptococcus neoformans Zc10
Zc12	Zambian Cng Isolate			VNI	Zambia	alpha	Homo sapiens	Clinical	Cryptococcus neoformans	Cryptococcus neoformans Zc12
Zc13	Zambian Cng Isolate			VNI	Zambia	alpha	Homo sapiens	Clinical	Cryptococcus neoformans	Cryptococcus neoformans Zc13
Zc14	Zambian Cng Isolate			VNII	Zambia	alpha	Homo sapiens	Clinical	Cryptococcus neoformans	Cryptococcus neoformans Zc14
Zc15	Zambian Cng Isolate			VNB-II	Zambia	alpha	Homo sapiens	Clinical	Cryptococcus neoformans	Cryptococcus neoformans Zc15
Zc16	Zambian Cng Isolate			VNI	Zambia	alpha	Homo sapiens	Clinical	Cryptococcus neoformans	Cryptococcus neoformans Zc16
