Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [specimen]	Characteristics [fungus organism]	Characteristics [fungal strain]
BTAr-A1	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			swamp grass leaf	Pyricularia oryzae	Pyricularia oryzae BTAr-A1
BTJP-4(15)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat seed	Pyricularia oryzae	Pyricularia oryzae BTJP-4(15)
BTJP-4(2)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat seed	Pyricularia oryzae	Pyricularia oryzae BTJP-4(2)
BTJP-4(9)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat seed	Pyricularia oryzae	Pyricularia oryzae BTJP-4(9)
BTBa-B1	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			Barley Leaf	Pyricularia oryzae	Pyricularia oryzae BTBa-B1
BTBa-B2	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			Barley Leaf	Pyricularia oryzae	Pyricularia oryzae BTBa-B2
BTGP-6(e)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat spike	Pyricularia oryzae	Pyricularia oryzae BTGP-6Û
BTGP-1(b)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat spike	Pyricularia oryzae	Pyricularia oryzae BTGP-1(b)
BTGP-6(f)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat spike	Pyricularia oryzae	Pyricularia oryzae BTGP-6(f)
BTGP-6(g)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat spike	Pyricularia oryzae	Pyricularia oryzae BTGP-6(g)
BTGP-6(h)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat spike	Pyricularia oryzae	Pyricularia oryzae BTGP-6(h)
BTJP-4(1)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat seed	Pyricularia oryzae	Pyricularia oryzae BTJP-4(1)
BTJP-4(3)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat seed	Pyricularia oryzae	Pyricularia oryzae BTJP-4(3)
BTJP-4(5)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat seed	Pyricularia oryzae	Pyricularia oryzae BTJP-4(5)
BTJP-4(6)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat seed	Pyricularia oryzae	Pyricularia oryzae BTJP-4(6)
BTJP-4(11)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat seed	Pyricularia oryzae	Pyricularia oryzae BTJP-4(11)
BTJP-4(12)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat seed	Pyricularia oryzae	Pyricularia oryzae BTJP-4(12)
BTJP-4(16)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat seed	Pyricularia oryzae	Pyricularia oryzae BTJP-4(16)
BTJP-4(18)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat seed	Pyricularia oryzae	Pyricularia oryzae BTJP-4(18)
BTMP-S-13(1)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat seed	Pyricularia oryzae	Pyricularia oryzae BTMP-S-13(1)
BTMP-S-13(2)	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			wheat seed	Pyricularia oryzae	Pyricularia oryzae BTMP-S-13(2)
BTTrp-5	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			Torpedo grass	Pyricularia oryzae	Pyricularia oryzae BTTrp-5
BTTrp-6	SNP calls on WGS of Pyricularia oryzae isolated from Bangladesh in 2016 and 2017			Torpedo grass	Pyricularia oryzae	Pyricularia oryzae BTTrp-6
