Name	Description	SourceMTOverride	SampleMTOverride	Specimen Collection Date	Characteristics [country]	Characteristics [continent]	Characteristics [city]	Characteristics [host_common_name]	Characteristics [specimen]	Characteristics [health_status]	Characteristics [fungus organism]	Characteristics [fungal strain]
CNRMA17-624	Aligned genome sequence reads - Candida auris clinical isolates			2017	France	Europe	n/a	Homo sapiens			Candida auris	Candida auris CNRMA17-624
CNRMA15-337	Aligned genome sequence reads - Candida auris clinical isolates			2015	France	Europe	n/a	Homo sapiens			Candida auris	Candida auris CNRMA15-337
B12169	Aligned genome sequence reads - Candida auris clinical isolates			21-May-15	Venezuela	South America	 Maracaibo	Homo sapiens	CSF	Candida infection or colonization	Candida auris	Candida auris B12169
B12168	Aligned genome sequence reads - Candida auris clinical isolates			25-May-15	Venezuela	South America	 Maracaibo	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12168
B12167	Aligned genome sequence reads - Candida auris clinical isolates			23-Mar-15	Venezuela	South America	 Maracaibo	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12167
B12166	Aligned genome sequence reads - Candida auris clinical isolates			24-Mar-15	Venezuela	South America	 Maracaibo	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12166
B12165	Aligned genome sequence reads - Candida auris clinical isolates			30-Mar-15	Venezuela	South America	 Maracaibo	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12165
B12162	Aligned genome sequence reads - Candida auris clinical isolates			9-Feb-15	Venezuela	South America	 Maracaibo	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12162
B12161	Aligned genome sequence reads - Candida auris clinical isolates			5-Jan-15	Venezuela	South America	 Maracaibo	Homo sapiens	blood	Candidemia	Candida auris	Candida auris B12161
B12160	Aligned genome sequence reads - Candida auris clinical isolates			5-May-15	Venezuela	South America	 Maracaibo	Homo sapiens	CSF	Candida infection or colonization	Candida auris	Candida auris B12160
B12157	Aligned genome sequence reads - Candida auris clinical isolates			9-Jan-15	Venezuela	South America	 Maracaibo	Homo sapiens	CSF	Candida infection or colonization	Candida auris	Candida auris B12157
B12155	Aligned genome sequence reads - Candida auris clinical isolates			9-Mar-15	Venezuela	South America	 Maracaibo	Homo sapiens			Candida auris	Candida auris B12155
B12154	Aligned genome sequence reads - Candida auris clinical isolates			21-May-15	Venezuela	South America	 Maracaibo	Homo sapiens	Catheter Tip	Candida infection or colonization	Candida auris	Candida auris B12154
B12153	Aligned genome sequence reads - Candida auris clinical isolates			27-Mar-15	Venezuela	South America	 Maracaibo	Homo sapiens	CSF	Candida infection or colonization	Candida auris	Candida auris B12153
B12150	Aligned genome sequence reads - Candida auris clinical isolates			4-Feb-15	Venezuela	South America	 Maracaibo	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12150
B12148	Aligned genome sequence reads - Candida auris clinical isolates			20-Aug-12	Venezuela	South America	 Maracaibo	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12148
B12146	Aligned genome sequence reads - Candida auris clinical isolates			18-Sep-12	Venezuela	South America	 Maracaibo	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12146
B12144	Aligned genome sequence reads - Candida auris clinical isolates			26-Apr-12	Venezuela	South America	 Maracaibo	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12144
B12142	Aligned genome sequence reads - Candida auris clinical isolates			26-Apr-12	Venezuela	South America	 Maracaibo	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12142
B12138	Aligned genome sequence reads - Candida auris clinical isolates			26-Jun-12	Venezuela	South America	 Maracaibo	Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B12138
B12137	Aligned genome sequence reads - Candida auris clinical isolates			25-May-12	Venezuela	South America	 Maracaibo	Homo sapiens	tracheal aspirate	Candida infection or colonization	Candida auris	Candida auris B12137
B12136	Aligned genome sequence reads - Candida auris clinical isolates			15-May-12	Venezuela	South America	 Maracaibo	Homo sapiens	other	Candida infection or colonization	Candida auris	Candida auris B12136
B16424	Aligned genome sequence reads - Candida auris clinical isolates			16-May-18	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16424
B16422	Aligned genome sequence reads - Candida auris clinical isolates			20-Apr-18	Kenya	Africa		Homo sapiens	P/SWAB	Candida infection or colonization	Candida auris	Candida auris B16422
