Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [country]	Characteristics [continent]	Characteristics [city]	Characteristics [specimen]	Characteristics [fungus organism]	Characteristics [fungal strain]
B-1-45-2	environmental A. fumigatus isolates			Germany	Europe	 Thuringia	soil	Aspergillus fumigatus	Aspergillus fumigatus B-1-45-2
B-1-45-5				Germany	Europe	 Thuringia	soil	Aspergillus fumigatus	Aspergillus fumigatus B-1-45-5
E-1-74s-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus E-1-74s-1
E-1-70L-5				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus E-1-70L-5
B-1-43-1				Germany	Europe	 Thuringia	soil	Aspergillus fumigatus	Aspergillus fumigatus B-1-43-1
C-1-76s-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus C-1-76s-1
E-1-70L-4				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus E-1-70L-4
E-1-75s-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus E-1-75s-1
C-1-93L-3				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus C-1-93L-3
D-2-23L-5				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus D-2-23L-5
E-1-21-2				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus E-1-21-2
E-1-25-10				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus E-1-25-10
E-1-7-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus E-1-7-1
E-1-14-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus E-1-14-1
C-1-72L-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus C-1-72L-1
E-1-56s-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus E-1-56s-1
C-1-72s-2				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus C-1-72s-2
C-1-51s-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus C-1-51s-1
D-2-24s-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus D-2-24s-1
D-2-17L-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus D-2-17L-1
C-1-69L-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus C-1-69L-1
D-2-25L-2				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus D-2-25L-2
D-2-22s-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus D-2-22s-1
D-2-25L-3				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus D-2-25L-3
B-1-63s-1				Germany	Europe	 Thuringia	soil	Aspergillus fumigatus	Aspergillus fumigatus B-1-63s-1
B-1-70s-1				Germany	Europe	 Thuringia	soil	Aspergillus fumigatus	Aspergillus fumigatus B-1-70s-1
B-1-69L-1				Germany	Europe	 Thuringia	soil	Aspergillus fumigatus	Aspergillus fumigatus B-1-69L-1
B-1-27-5				Germany	Europe	 Thuringia	soil	Aspergillus fumigatus	Aspergillus fumigatus B-1-27-5
B-1-26-5				Germany	Europe	 Thuringia	soil	Aspergillus fumigatus	Aspergillus fumigatus B-1-26-5
D-2-28L-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus D-2-28L-1
E-1-75s-2				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus E-1-75s-2
B-1-71L-1				Germany	Europe	 Thuringia	soil	Aspergillus fumigatus	Aspergillus fumigatus B-1-71L-1
E-1-65L-4				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus E-1-65L-4
D-2-49L-5				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus D-2-49L-5
D-2-47L-1				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus D-2-47L-1
B-1-44-s				Germany	Europe	 Thuringia	soil	Aspergillus fumigatus	Aspergillus fumigatus B-1-44-s
E-1-65L-2				Germany	Europe	 Saxony-Anhalt	soil	Aspergillus fumigatus	Aspergillus fumigatus E-1-65L-2
