Name	Description	SourceMTOverride	SampleMTOverride	Characteristics [study_type]	specimen collector	specimen collection year	Characteristics [GP60 genotype]	Characteristics [country]	Characteristics [continent]	Characteristics [city]	Characteristics [host_common_name]	Characteristics [specimen]	Characteristics [parasite organism]	Characteristics [parasite strain]
C389	WGS of C. parvum isolates from animals ( PRJNA633764)			Microbe, viral or environmental	Istituto Superiore di Sanita, Rome, Italy	2015	IIaA15G2R1	Italy	Europe	Italy: Eboli	Ovis aries	stool	Cryptosporidium parvum	Cryptosporidium parvum C389
C386	WGS of C. parvum isolates from animals ( PRJNA633764)			Microbe, viral or environmental	Istituto Superiore di Sanita, Rome, Italy	2015	IIaA15G2R1	Italy	Europe	Italy: Eboli	Capra hircus	stool	Cryptosporidium parvum	Cryptosporidium parvum C386
C393	WGS of C. parvum isolates from animals ( PRJNA633764)			Microbe, viral or environmental	Istituto Superiore di Sanita, Rome, Italy	2016	IIaA16G3R1	Italy	Europe	Italy: Vibo Valenzia	Bos taurus	stool	Cryptosporidium parvum	Cryptosporidium parvum C393
C392	WGS of C. parvum isolates from animals ( PRJNA633764)			Microbe, viral or environmental	Istituto Superiore di Sanita, Rome, Italy	2016	IIaA17G1R1	Italy	Europe	Italy: Grosseto	Ovis aries	stool	Cryptosporidium parvum	Cryptosporidium parvum C392
C391	WGS of C. parvum isolates from animals ( PRJNA633764)			Microbe, viral or environmental	Istituto Superiore di Sanita, Rome, Italy	2016	IIaA19G2R1	Italy	Europe	Italy: Vibo Valenzia	Bos taurus	stool	Cryptosporidium parvum	Cryptosporidium parvum C391
C390	WGS of C. parvum isolates from animals ( PRJNA633764)			Microbe, viral or environmental	Istituto Superiore di Sanita, Rome, Italy	2016	IIaA15G2R1	Italy	Europe	Italy: Eboli	Ovis aries	stool	Cryptosporidium parvum	Cryptosporidium parvum C390
C388	WGS of C. parvum isolates from animals ( PRJNA633764)			Microbe, viral or environmental	Istituto Superiore di Sanita, Rome, Italy	2015	IIaA15G2R1	Italy	Europe	Italy: Eboli	Ovis aries	stool	Cryptosporidium parvum	Cryptosporidium parvum C388
C385	WGS of C. parvum isolates from animals ( PRJNA633764)			Microbe, viral or environmental	Istituto Superiore di Sanita, Rome, Italy	2015	IIaA15G2R1	Italy	Europe	Italy: Eboli	Capra hircus	stool	Cryptosporidium parvum	Cryptosporidium parvum C385
Venezia	WGS of C. parvum isolates from animals ( PRJNA633764)			Microbe, viral or environmental	Istituto Superiore di Sanita, Rome, Italy	2015	IIaA15G2R1	Italy	Europe	Italy: Venice	Bos taurus	stool	Cryptosporidium parvum	Cryptosporidium parvum Venezia
Torino	WGS of C. parvum isolates from animals ( PRJNA633764)			Microbe, viral or environmental	Istituto Superiore di Sanita, Rome, Italy	1990	IIdA22G2R1	Italy	Europe	Italy: Turin	Bos taurus	stool	Cryptosporidium parvum	Cryptosporidium parvum Torino
C6	WGS of C. parvum isolates from animals ( PRJNA633764)			Microbe, viral or environmental	Istituto Superiore di Sanita, Rome, Italy	1996	IIaA18G1R1	Denmark	Europe	Denmark	Bos taurus	stool	Cryptosporidium parvum	Cryptosporidium parvum C6
C395	WGS of C. parvum isolates from animals ( PRJNA633764)			Microbe, viral or environmental	Istituto Superiore di Sanita, Rome, Italy	2016	IIaA18R1	Italy	Europe	Italy: Castel Giorgio	Capra hircus	stool	Cryptosporidium parvum	Cryptosporidium parvum C395
C394	WGS of C. parvum isolates from animals ( PRJNA633764)			Microbe, viral or environmental	Istituto Superiore di Sanita, Rome, Italy	2016	IIaA16G1R1	Italy	Europe	Italy: Castiglione Arrone	Ovis aries	stool	Cryptosporidium parvum	Cryptosporidium parvum C394
C366	WGS of C. parvum isolates from animals ( PRJNA633764)			Microbe, viral or environmental	Istituto Superiore di Sanita, Rome, Italy	2014	IIdA17G2R1	Italy	Europe	Italy: Matera	Capra hircus	stool	Cryptosporidium parvum	Cryptosporidium parvum C366
C320	WGS of C. parvum isolates from animals ( PRJNA633764)			Microbe, viral or environmental	Istituto Superiore di Sanita, Rome, Italy	2013	IIaA15G2R1	Italy	Europe	Italy: Bagno di Romagna	Capra hircus	stool	Cryptosporidium parvum	Cryptosporidium parvum C320
