Name	Description	SourceMTOverride	SourceMTOverride	Characteristics[country]	Characteristics [continent]	Characteristics [organism]	Characteristics [specimen]	Characteristics [parasite genotype]	Specimen Collection Date	Characteristics[parasite organism]	Characteristics[parasite strain]
Afr12	C hominis isolates from 4 African locations			Madagascar	Africa	Homo sapiens	stool	IaA14	3/22/17	Cryptosporidium hominis	Cryptosporidium hominis Afr12
Afr11	C hominis isolates from 4 African locations			Madagascar	Africa	Homo sapiens	stool	IaA14	3/20/17	Cryptosporidium hominis	Cryptosporidium hominis Afr11
Afr10	C hominis isolates from 4 African locations			Madagascar	Africa	Homo sapiens	stool	IbA10G2	2/24/17	Cryptosporidium hominis	Cryptosporidium hominis Afr10
Afr9	C hominis isolates from 4 African locations			Ghana	Africa	Homo sapiens	stool	IdA15	11/22/16	Cryptosporidium hominis	Cryptosporidium hominis Afr9
Afr7	C hominis isolates from 4 African locations			Ghana	Africa	Homo sapiens	stool	IeA11G3T3	9/20/16	Cryptosporidium hominis	Cryptosporidium hominis Afr7
Afr6	C hominis isolates from 4 African locations			Ghana	Africa	Homo sapiens	stool	IeA11G3T3	8/12/16	Cryptosporidium hominis	Cryptosporidium hominis Afr6
Afr5	C hominis isolates from 4 African locations			Ghana	Africa	Homo sapiens	stool	IeA11G3T3	7/25/16	Cryptosporidium hominis	Cryptosporidium hominis Afr5
Afr35	C hominis isolates from 4 African locations			Gabon	Africa	Homo sapiens	stool	IeA11G3T3	8/24/17	Cryptosporidium hominis	Cryptosporidium hominis Afr35
Afr34	C hominis isolates from 4 African locations			Gabon	Africa	Homo sapiens	stool	IbA13G3	2/22/18	Cryptosporidium hominis	Cryptosporidium hominis Afr34
Afr33	C hominis isolates from 4 African locations			Gabon	Africa	Homo sapiens	stool	IbA9G3	7/28/17	Cryptosporidium hominis	Cryptosporidium hominis Afr33
Afr30	C hominis isolates from 4 African locations			Gabon	Africa	Homo sapiens	stool	IdA22	9/28/17	Cryptosporidium hominis	Cryptosporidium hominis Afr30
Afr29	C hominis isolates from 4 African locations			Gabon	Africa	Homo sapiens	stool	IeA11G3T3	8/23/17	Cryptosporidium hominis	Cryptosporidium hominis Afr29
Afr26	C hominis isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IbA9G3	1/18/17	Cryptosporidium hominis	Cryptosporidium hominis Afr26
Afr25	C hominis isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IeA11G3T3	3/29/17	Cryptosporidium hominis	Cryptosporidium hominis Afr25
Afr24	C hominis isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IdA17	3/29/17	Cryptosporidium hominis	Cryptosporidium hominis Afr24
Afr3	C hominis isolates from 4 African locations			Ghana	Africa	Homo sapiens	stool	IeA11G3T3	6/2/16	Cryptosporidium hominis	Cryptosporidium hominis Afr3
Afr23	C hominis isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IaA25	3/27/17	Cryptosporidium hominis	Cryptosporidium hominis Afr23
Afr22	C hominis isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IeA11G3T3	3/13/17	Cryptosporidium hominis	Cryptosporidium hominis Afr22
Afr21	C hominis isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IeA11G3T3	3/8/17	Cryptosporidium hominis	Cryptosporidium hominis Afr21
Afr20	C hominis isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IaA19	3/6/17	Cryptosporidium hominis	Cryptosporidium hominis Afr20
Afr18	C hominis isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IdA17	1/30/17	Cryptosporidium hominis	Cryptosporidium hominis Afr18
Afr17	C hominis isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IeA11G3T3	1/6/17	Cryptosporidium hominis	Cryptosporidium hominis Afr17
Afr16	C hominis isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IdA17	1/3/17	Cryptosporidium hominis	Cryptosporidium hominis Afr16
Afr15	C hominis isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IdA17	1/2/17	Cryptosporidium hominis	Cryptosporidium hominis Afr15
Afr14	C hominis isolates from 4 African locations			Tanzania	Africa	Homo sapiens	stool	IfA14G1	12/8/16	Cryptosporidium hominis	Cryptosporidium hominis Afr14
Afr13	C hominis isolates from 4 African locations			Madagascar	Africa	Homo sapiens	stool	IaA14	3/24/17	Cryptosporidium hominis	Cryptosporidium hominis Afr13
Afr2	C hominis isolates from 4 African locations			Ghana	Africa	Homo sapiens	stool	IeA11G3T3	5/16/16	Cryptosporidium hominis	Cryptosporidium hominis Afr2
Afr1	C hominis isolates from 4 African locations			Ghana	Africa	Homo sapiens	stool	IeA11G3T3	5/18/16	Cryptosporidium hominis	Cryptosporidium hominis Afr1
