Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics [GeographicLocation]	Characteristics[city]	Characteristics [organism]	Characteristics [specimen]	latitude	longitude	Characteristics [fungus organism]	Characteristics [fungal strain]
AFIS2254	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Virginia	Homo sapiens		37.4316 N	78.6569 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2254
AFIS2068	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Montana	Homo sapiens	sputum	46.8797 N	110.3626 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2068
AFIS1415	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia	Homo sapiens		32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1415
AFIS2066	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Illinois	Homo sapiens	sputum	40.6331 N	89.3985 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2066
AFIS2064	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 California	Homo sapiens	sputum	36.7783 N	119.4179 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2064
AFIS2060	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Massachusetts	Homo sapiens	sputum	42.4072 N	71.3824 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2060
AFIS2013	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Illinois	Homo sapiens	Bronch wash	40.6331 N	89.3985 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2013
AFIS2009	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Florida	Homo sapiens	sputum	27.6648 N	81.5158 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2009
AFIS1990	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Georgia	Homo sapiens		32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1990
AFIS1956	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Arizona	Homo sapiens	BAL	34.0489 N	111.0937 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1956
AFIS1948	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 California	Homo sapiens	sputum	36.7783 N	119.4179 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1948
AFIS1938	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Texas	Homo sapiens	BAL	31.9686 N	99.9018 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1938
AFIS1933	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Michigan	Homo sapiens	sputum	44.3148 N	85.6024 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1933
AFIS1904	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Arizona	Homo sapiens	sputum	34.0489 N	111.0937 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1904
AFIS1898	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Arizona	Homo sapiens	BAL	34.0489 N	111.0937 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1898
AFIS1892	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Kentucky	Homo sapiens	L ear	37.8393 N	84.27 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1892
AFIS1461	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 New York	Homo sapiens	sputum	40.7128 N	74.006 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1461
AFIS1885	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Iowa	Homo sapiens	Paranasal Sinus	41.878 N	93.0977 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1885
AFIS1878	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Indiana	Homo sapiens	sputum	40.2672 N	86.1349 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1878
AFIS1874	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Kentucky	Homo sapiens	R ear fluid	37.8393 N	84.27 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1874
AFIS1867	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Florida	Homo sapiens	sputum	27.6648 N	81.5158 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1867
AFIS1861	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Tennessee	Homo sapiens	Bronch wash	35.5175 N	86.5804 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1861
AFIS1857	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Michigan	Homo sapiens	Sinus	44.3148 N	85.6024 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1857
AFIS1460	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 New York	Homo sapiens	sputum	40.7128 N	74.006 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1460
AFIS1828	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Illinois	Homo sapiens	sputum	40.6331 N	89.3985 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1828
AFIS1820	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 California	Homo sapiens	sputum	36.7783 N	119.4179 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1820
AFIS1786	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Massachusetts	Homo sapiens		42.4072 N	71.3824 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1786
AFIS1784	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Massachusetts	Homo sapiens		42.4072 N	71.3824 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1784
AFIS1458	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 New York	Homo sapiens	sputum	40.7128 N	74.006 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1458
AFIS1777	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Wyoming	Homo sapiens	ear	43.076 N	107.2903 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1777
AFIS1737	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Minnesota	Homo sapiens	sputum	46.7296 N	94.6859 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1737
AFIS1709	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Maryland	Homo sapiens	BAL	39.0458 N	76.6413 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1709
AFIS1659	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Pennsylvania	Homo sapiens	Bronch wash	41.2033 N	77.1945 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1659
AFIS1635	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Pennsylvania	Homo sapiens	BAL	41.2033 N	77.1945 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1635
AFIS1623	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Maryland	Homo sapiens	sputum	39.0458 N	76.6413 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1623
AFIS1456	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 New York	Homo sapiens	sputum	40.7128 N	74.006 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1456
AFIS1608	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Indiana	Homo sapiens	sputum	40.2672 N	86.1349 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1608
AFIS1588	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Pennsylvania	Homo sapiens	BAL	41.2033 N	77.1945 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1588
AFIS1554	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia	Homo sapiens	Bronch wash	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1554
AFIS1543	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia	Homo sapiens	sputum	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1543
AFIS1541	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia	Homo sapiens	sputum	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1541
AFIS1527	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2013	USA	North America	USA	 North Carolina	Homo sapiens	sputum	35.7596 N	79.0193 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1527
B6687	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC						Homo sapiens				Aspergillus fumigatus	Aspergillus fumigatus B6687
B11982	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia		soil	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus B11982
B11973	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia		soil	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus B11973
B11971	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia		soil	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus B11971
AFIS1522	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2014	USA	North America	USA	 North Carolina	Homo sapiens	sputum	35.7596 N	79.0193 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1522
B11959	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia		soil	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus B11959
B11957	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia		soil	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus B11957
B11930	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia		soil	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus B11930
B11928	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia		soil	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus B11928
AFIS3199	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2017	USA	North America	USA	 Virginia	Homo sapiens	Endotracheal aspirate	37.4316 N	78.6569 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS3199
AFIS3129	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2017	USA	North America	USA	 West Virginia	Homo sapiens	sputum	38.5976 N	80.4549 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS3129
AFIS3092	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2017	USA	North America	USA	 California	Homo sapiens	sputum	36.7783 N	119.4179 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS3092
AFIS2889	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2017	USA	North America	USA	 California	Homo sapiens	sputum	36.7783 N	119.4179 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2889
AFIS2768	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Virginia	Homo sapiens	sputum	37.4316 N	78.6569 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2768
AFIS2574	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Pennsylvania	Homo sapiens	skin	41.2033 N	77.1945 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2574
AFIS2558	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Arkansas	Homo sapiens	BAL	35.201 N	91.8318 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2558
AFIS2548	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Delaware	Homo sapiens	BAL	38.9108 N	75.5277 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2548
AFIS2511	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Montana	Homo sapiens	sputum	46.8797 N	110.3626 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2511
AFIS2503	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Mississippi	Homo sapiens	Pleural Fluid	32.3547 N	89.3985 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2503
AFIS2487	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Kentucky	Homo sapiens	ear	37.8393 N	84.27 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2487
AFIS2400	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Texas	Homo sapiens	sputum	31.9686 N	99.9018 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2400
AFIS2394	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Pennsylvania	Homo sapiens	sputum	41.2033 N	77.1945 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2394
AFIS2393	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Pennsylvania	Homo sapiens	Bronch wash	41.2033 N	77.1945 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2393
AFIS2305	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Virginia	Homo sapiens	Bronch wash	37.4316 N	78.6569 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2305
AFIS2288	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Georgia	Homo sapiens	BAL	32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2288
AFIS2277	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Wyoming	Homo sapiens	BAL	43.076 N	107.2903 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2277
AFIS1501	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Indiana	Homo sapiens	sputum	40.2672 N	86.1349 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1501
AFIS2244	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 California	Homo sapiens	sputum	36.7783 N	119.4179 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2244
AFIS2241	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 California	Homo sapiens	sputum	36.7783 N	119.4179 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2241
AFIS2224	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Alabama	Homo sapiens	Bronch wash	32.3182 N	86.9023 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2224
AFIS2211	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Georgia	Homo sapiens		32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2211
AFIS2194	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 New Jersey	Homo sapiens	sputum	40.0583 N	74.4057 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2194
AFIS2193	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Illinois	Homo sapiens	Lung tissue	40.6331 N	89.3985 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2193
AFIS2188	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 New Jersey	Homo sapiens	Bronch wash	40.0583 N	74.4057 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2188
AFIS2164	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Pennsylvania	Homo sapiens	sputum	41.2033 N	77.1945 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2164
AFIS2157	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Missouri	Homo sapiens	sputum	37.9643 N	91.8318 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2157
AFIS2153	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Massachusetts	Homo sapiens	sputum	42.4072 N	71.3824 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2153
AFIS2150	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Colorado	Homo sapiens	sputum	39.5501 N	105.7821 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2150
AFIS2122	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Indiana	Homo sapiens	sputum	40.2672 N	86.1349 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2122
AFIS2101	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 District of Columbia	Homo sapiens	Brain cystic mass	38.9072 N	77.0369 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2101
AFIS2098	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Missouri	Homo sapiens	Bronch wash	37.9643 N	91.8318 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2098
AFIS1492	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Ohio	Homo sapiens	ear	40.4173 N	82.9071 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1492
AFIS1417	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2015	USA	North America	USA	 Georgia	Homo sapiens		32.1656 N	82.9001 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS1417
AFIS2067	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 California	Homo sapiens	sputum	36.7783 N	119.4179 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2067
AFIS2065	SNP calls on WGS of Aspergillus fumigatus isolates from a CDC surveillance of triazole resistance in the United States			CDC	2016	USA	North America	USA	 Virginia	Homo sapiens	BAL	37.4316 N	78.6569 W	Aspergillus fumigatus	Aspergillus fumigatus AFIS2065
