Name	Description	SourceMTOverride	SourceMTOverride	Characteristics[country]	Characteristics [continent]	Characteristics [health_status]	Characteristics [organism]	latitude	longitude	Characteristics [fungus organism]	Characteristics [fungal strain]
CM3262	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus CM3262
CM2733	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus CM2733
CM2730	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus CM2730
CM7560	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus CM7560
CM3249	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus CM3249
CM3720	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus CM3720
CM4602	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus CM4602
CM3249b	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus CM3249b
CM2495	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus CM2495
AF293	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus AF293
akuBKU80	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus akuBKU80
CM7570	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus CM7570
CEA10_resequence1	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus CEA10_resequence1
ATCC46645	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus ATCC46645
CM6458	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus CM6458
CM6126	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus CM6126
CM7555	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus CM7555
CM7510	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus CM7510
TP12	SNP calls of WGSf of Aspergillus fumigatus strains collected in Spain			Spain	Europe	Aspergillosis	Homo sapiens	40.25 N	3.41 W	Aspergillus fumigatus	Aspergillus fumigatus TP12
