Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [fungus organism]	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics [GeographicLocation]	Characteristics [city]	Characteristics [Health status]	Characteristics [organism]	Characteristics [specimen]	latitude	longitude	Characteristics [fungal strain]
Sp1_Pool	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae Sp1_Pool
LL_Pool	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae LL_Pool
L17	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae L17
UL_Pool	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae UL_Pool
ATCC_42720	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	myelogenous leukemia	Homo sapiens	blood	43.64 N	72.25 W	Clavispora lusitaniae ATCC_42720
S20	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae S20
S21	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae S21
L12	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae L12
L13	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae L13
L14	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae L14
L15	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae L15
L16	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae L16
S18	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae S18
S19	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae S19
L10	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae L10
L11	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae L11
U06	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae U06
U07	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae U07
U08	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae U08
L09	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae L09
U02	SNP calls on WGS of Clavispora strain populations from the patients with cystic fibrosis			Clavispora lusitaniae	2015	USA	North America	New Hampshire	 Lebanon	cystic fibrosis	Homo sapiens	lung	43.64 N	72.25 W	Clavispora lusitaniae U02
