Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics[city]	Characteristics [Health status]	Characteristics [organism]	Characteristics [fungus organism]	Lineage	Characteristics [fungal strain]
WM_06_8	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			University of Sydney	1996	Uruguay	South America		Cryptococcosis	missing	Cryptococcus gattii VGII		Cryptococcus gattii VGII WM_06_8
WM_09_83	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			University of Sydney	1985	Australia	Oceania		Cryptococcosis	missing	Cryptococcus gattii VGII		Cryptococcus gattii VGII WM_09_83
WM_06_33	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			University of Sydney	1953	Aruba	North America		Cryptococcosis	missing	Cryptococcus gattii VGII		Cryptococcus gattii VGII WM_06_33
WM_05_77	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			University of Sydney	1998	Greece	Europe		Cryptococcosis	Homo sapiens	Cryptococcus gattii VGII		Cryptococcus gattii VGII WM_05_77
B11468	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			CDC	2016	USA	North America	Oregon	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGII	VGIIc	Cryptococcus gattii VGII B11468
B11442	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			CDC	2016	USA	North America	Oregon	Cryptococcosis	elk	Cryptococcus gattii VGII	VGIIc	Cryptococcus gattii VGII B11442
B11592	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			CDC	2016	USA	North America	Oregon	Cryptococcosis	cat	Cryptococcus gattii VGII	VGIIc	Cryptococcus gattii VGII B11592
B11473	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			CDC	2016	USA	North America	Oregon	Cryptococcosis	dog sample	Cryptococcus gattii VGII	VGIIc	Cryptococcus gattii VGII B11473
B11591	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			CDC	2016	USA	North America	Oregon	Cryptococcosis	dog	Cryptococcus gattii VGII		Cryptococcus gattii VGII B11591
B11441	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			CDC	2016	USA	North America	Oregon	Cryptococcosis	elk	Cryptococcus gattii VGII		Cryptococcus gattii VGII B11441
WM_05_76	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			University of Sydney	1996	Greece	Europe		Cryptococcosis	Homo sapiens	Cryptococcus gattii VGII		Cryptococcus gattii VGII WM_05_76
B11766	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			CDC	2016	USA	North America	North Carolina	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGII		Cryptococcus gattii VGII B11766
B11352	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			CDC	2015	USA	North America	Oregon	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGII	VGIIc	Cryptococcus gattii VGII B11352
B115675	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			CDC	2015	Canada	North America	Nova Scotia	Cryptococcosis	deer	Cryptococcus gattii VGII	VGIIb	Cryptococcus gattii VGII B115675
B11562	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			CDC	2016	USA	North America	Washington	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGII	VGIIa	Cryptococcus gattii VGII B11562
B11560	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			CDC	2016	USA	North America	Oregon	Cryptococcosis	ferret	Cryptococcus gattii VGII	VGIIa	Cryptococcus gattii VGII B11560
B11460	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			CDC	2016	USA	North America	California	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGII	VGIIa	Cryptococcus gattii VGII B11460
B11428	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			CDC	2015	USA	North America	Washington	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGII	VGIIa	Cryptococcus gattii VGII B11428
B8_BC	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			CDC	2002	Canada	North America	British Columbia	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGII	VGIIa	Cryptococcus gattii VGII B8_BC
WM_09_144	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			University of Sydney	2006	Canada	North America	British Columbia	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGII	VGIIa	Cryptococcus gattii VGII WM_09_144
B11569	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			CDC	2015	Canada	North America	Quebec	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGII	VGIIa	Cryptococcus gattii VGII B11569
B11566	SNP calls on WGS of Cryptococcus gattii isolates collected from the North American Pacific Northwest.			CDC	2015	Canada	North America	Quebec	Cryptococcosis	bird	Cryptococcus gattii VGII	VGIIa	Cryptococcus gattii VGII B11566
