Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics [specimen]	latitude	longitude	Characteristics [fungus organism]	Characteristics [fungal strain]
F-1-4L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/27/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus F-1-4L-1
K-1-12L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/3/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus K-1-12L-1
K-1-4s-1_2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/3/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus K-1-4s-1_2
K-1-24L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/3/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus K-1-24L-1
F-1-10L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/27/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus F-1-10L-1
L-2-11-4	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-2-11-4
L-2-11-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-2-11-2
L-2-22-4	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-2-22-4
B-1-66L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/4/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus B-1-66L-1
L-2-16-3	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-2-16-3
L-2-15-4	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-2-15-4
L-2-9-5	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-2-9-5
L-2-9-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-2-9-1
L-2-7-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-2-7-1
L-2-7-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-2-7-2
L-2-17-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-2-17-1
L-2-16-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/24/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus L-2-16-1
K-1-4s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/3/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus K-1-4s-1
K-1-18L-6	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/3/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus K-1-18L-6
B-1-78L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/4/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus B-1-78L-1
K-1-3L-4	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/3/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus K-1-3L-4
NRZ-2016-342	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/16	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2016-342
NRZ-2016-141	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/16	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2016-141
NRZ-2016-121	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/16	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2016-121
NRZ-2016-108	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/16	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2016-108
NRZ-2016-071	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/16	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2016-071
NRZ-2018-649	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/18	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2018-649
NRZ-2016-063	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/16	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2016-063
NRZ-2018-646	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/18	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2018-646
K-1-8L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/3/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus K-1-8L-1
NRZ-2018-539	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/18	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2018-539
NRZ-2018-529	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/18	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2018-529
NRZ-2018-396	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/18	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2018-396
NRZ-2018-326	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/18	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2018-326
NRZ-2017-339	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/17	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2017-339
NRZ-2018-313	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/18	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2018-313
NRZ-2018-307	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/18	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2018-307
NRZ-2018-300	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/18	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2018-300
NRZ-2018-290	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/18	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2018-290
NRZ-2016-032	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/16	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2016-032
K-1-1L-5	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/3/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus K-1-1L-5
NRZ-2018-286	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/18	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2018-286
NRZ-2018-281	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/18	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2018-281
NRZ-2018-272	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/18	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2018-272
NRZ-2018-236	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/18	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2018-236
NRZ-2018-146	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/18	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2018-146
NRZ-2018-123	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/18	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2018-123
