Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [continent]	Characteristics [country]	Characteristics [city]	Characteristics [organism]	Characteristics [fungus organism]	specimen collection year	Characteristics [specimen]	Characteristics[fungal strain]
a12_3B_10	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	1990	spore	Zymoseptoria tritici a12_3B_10
a12_3B_20	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	1990	spore	Zymoseptoria tritici a12_3B_20
a12_3B_4	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	1990	spore	Zymoseptoria tritici a12_3B_4
a12_3B_9	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	1990	spore	Zymoseptoria tritici a12_3B_9
a15_2A_8	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	1990	spore	Zymoseptoria tritici a15_2A_8
a15_3B_1	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	1990	spore	Zymoseptoria tritici a15_3B_1
ISY_Ar_15c	Population sequencing of Zymoseptoria tritici from infected wheat fields			Asia	Israel	n/a	Triticum aestivum	Zymoseptoria tritici	1992	spore	Zymoseptoria tritici ISY_Ar_15c
ISY_Ar_17d	Population sequencing of Zymoseptoria tritici from infected wheat fields			Asia	Israel	n/a	Triticum aestivum	Zymoseptoria tritici	1992	spore	Zymoseptoria tritici ISY_Ar_17d
ISY_Ar_1c	Population sequencing of Zymoseptoria tritici from infected wheat fields			Asia	Israel	n/a	Triticum aestivum	Zymoseptoria tritici	1992	spore	Zymoseptoria tritici ISY_Ar_1c
ISY_Ar_2c	Population sequencing of Zymoseptoria tritici from infected wheat fields			Asia	Israel	n/a	Triticum aestivum	Zymoseptoria tritici	1992	spore	Zymoseptoria tritici ISY_Ar_2c
ISY_Ar_4e	Population sequencing of Zymoseptoria tritici from infected wheat fields			Asia	Israel	n/a	Triticum aestivum	Zymoseptoria tritici	1992	spore	Zymoseptoria tritici ISY_Ar_4e
ORE15_Mad_A1	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_A1
ORE15_Mad_A2	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_A2
ORE15_Mad_A3	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_A3
ORE15_Mad_A4	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_A4
ORE15_Mad_A5	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_A5
ORE15_Mad_A6	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_A6
ORE15_Mad_A7	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_A7
ORE15_Mad_B1	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_B1
ORE15_Mad_B3	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_B3
ORE15_Mad_B4	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_B4
ORE15_Mad_B5	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_B5
ORE15_Mad_C1	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_C1
ORE15_Mad_C2	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_C2
ORE15_Mad_C3	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_C3
ORE15_Mad_C4	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_C4
ORE15_Mad_C5	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_C5
ORE15_Mad_C6	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_C6
ORE15_Mad_C7	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_C7
ORE15_Mad_D1	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_D1
ORE15_Mad_D2	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_D2
ORE15_Mad_D3	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_D3
ORE15_Mad_D4	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_D4
ORE15_Mad_D5	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_D5
ORE15_Mad_D6	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_D6
ORE15_Mad_E1	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_E1
ORE15_Mad_E2	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_E2
ORE15_Mad_E3	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_E3
ORE15_Mad_E4	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_E4
ORE15_Mad_E5	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_E5
ORE15_Mad_E6	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_E6
ORE15_Mad_E7	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_E7
ORE15_Mad_F1	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_F1
ORE15_Mad_F2	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_F2
ORE15_Mad_F3	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_F3
ORE15_Mad_F4	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_F4
ORE15_Mad_F5	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_F5
ORE15_Mad_F6	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_F6
ORE15_Mad_G1	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_G1
ORE15_Mad_G2	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_G2
ORE15_Mad_G3	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_G3
ORE15_Mad_G4	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_G4
ORE15_Mad_G5	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_G5
ORE15_Mad_H1	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_H1
ORE15_Mad_H2	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_H2
ORE15_Mad_H3	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_H3
ORE15_Mad_H4	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_H4
ORE15_Mad_H7	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Mad_H7
ORE15_Ste_A1	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_A1
ORE15_Ste_A10	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_A10
ORE15_Ste_A11	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_A11
ORE15_Ste_A12	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_A12
ORE15_Ste_A13	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_A13
ORE15_Ste_A14	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_A14
ORE15_Ste_A15	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_A15
ORE15_Ste_A16	Population sequencing of Zymoseptoria tritici from infected wheat fields			North America	USA	 Oregon	Triticum aestivum	Zymoseptoria tritici	2015	spore	Zymoseptoria tritici ORE15_Ste_A16
