Name	Description	SourceMTOverride	SourceMTOverride	Specimen Collection Date	Characteristics [specimen]	Characteristics [country]	Characteristics [continent]	Characteristics[city]	Characteristics [organism]	latitude	longitude	Characteristics [fungus organism]	Characteristics [fungal strain]
UKR				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea UKR
T7				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea T7
Davis_Navel				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea Davis_Navel
BMM				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea BMM
Acacia				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea Acacia
1_02_06				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea 1_02_06
1_02_03				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea 1_02_03
1_02_04				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea 1_02_04
1_02_19				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea 1_02_19
1_02_17				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea 1_02_17
1_02_20				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea 1_02_20
Fresa525				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea Fresa525
FSD				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea FSD
GLO1				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea GLO1
Grape				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea Grape
KazS23				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea KazS23
KGB2_S24				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea KGB2_S24
Mex03				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea Mex03
Navel				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea Navel
Peachy				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea Peachy
1_01_03				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea 1_01_03
1_01_01				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea 1_01_01
1_01_15				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea 1_01_15
1_01_06				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea 1_01_06
1_02_02				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea 1_02_02
1_04_17				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea 1_04_17
1_04_20				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea 1_04_20
1_04_05				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea 1_04_05
1_04_25				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea 1_04_25
SS_S27				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea SS_S27
Ps_S26				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea Ps_S26
Rasp				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea Rasp
T3				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea T3
Esparato_Fresa				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea Esparato_Fresa
BPA1				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea BPA1
BO5_10				2011	Grape vine field mud	USA	North America	 California	Grape	38.52654710 N	121.78790375 W	Botrytis cinerea	Botrytis cinerea BO5_10
