Name	Description	SourceMTOverride	SourceMTOverride	Specimen Collection Date	Characteristics [country]	Characteristics [continent]	Characteristics[city]	Characteristics[city]	Characteristics [specimen]	Characteristics [specimen]	Isolation_time	latitude	longitude	Characteristics [fungus organism]	Characteristics [fungal strain]	mic_of_fk506	ICZ	mic_of_natamycin	PZ	mic_of_terbinafine	VCZ	mic_of_tebuconazole	alternative sample ID
A17-58A-5	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/28/18	USA	North America	Fort Meade	Florida	Soil	Citrus	n/a	28.1022 N	81.712 W	Aspergillus fumigatus	Aspergillus fumigatus A17-58A-5	0.625 ug/ml	0.75 ug/ml	9 ug/ml	0.375 ug/ml	0.75 ug/ml	0.375 ug/ml	1.5 ug/ml Sensitive	eAF792
A17-58A-3	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/28/18	USA	North America	Fort Meade	Florida	Soil	Citrus	n/a	28.1022 N	81.712 W	Aspergillus fumigatus	Aspergillus fumigatus A17-58A-3	4 ug/ml	0.5 ug/ml	16 ug/ml	0.25 ug/ml	1 ug/ml	0.25 ug/ml	1 ug/ml Sensitive	eAF790
A17-55A-5	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/28/18	USA	North America	Fort Meade	Florida	Soil	Citrus	n/a	28.1022 N	81.712 W	Aspergillus fumigatus	Aspergillus fumigatus A17-55A-5	0.75 ug/ml	1 ug/ml	12 ug/ml	0.5 ug/ml	1.5 ug/ml	0.5 ug/ml	2 ug/ml Sensitive	eAF777
A17-55A-4	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/28/18	USA	North America	Fort Meade	Florida	Soil	Citrus	n/a	28.1022 N	81.712 W	Aspergillus fumigatus	Aspergillus fumigatus A17-55A-4	4 ug/ml	0.5 ug/ml	16 ug/ml	0.25 ug/ml	1 ug/ml	0.25 ug/ml	1 ug/ml Resistant	eAF776
A17-55A-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/28/18	USA	North America	Fort Meade	Florida	Soil	Citrus	n/a	28.1022 N	81.712 W	Aspergillus fumigatus	Aspergillus fumigatus A17-55A-1	0.75 ug/ml	1 ug/ml	12 ug/ml	0.5 ug/ml	1.5 ug/ml	0.5 ug/ml	2 ug/ml Sensitive	eAF773
A17-54A-3	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/28/18	USA	North America	Fort Meade	Florida	Soil	Citrus	n/a	28.1022 N	81.712 W	Aspergillus fumigatus	Aspergillus fumigatus A17-54A-3	8 ug/ml	1 ug/ml	16 ug/ml	0.25 ug/ml	1 ug/ml	0.25 ug/ml	2 ug/ml Resistant	eAF770
A17-6C-10	Aspergillus fumigatus, Environmental Isolates from Southeast USA			8/27/17	USA	North America	Cordele	Georgia	Vine debris	Watermelon	60 dph	31.9672 N	83.7836 W	Aspergillus fumigatus	Aspergillus fumigatus A17-6C-10	0.5 ug/ml	1 ug/ml	16 ug/ml	0.375 ug/ml	0.5 ug/ml	0.25 ug/ml	1 ug/ml Resistant	eAF043
A17-54A-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/28/18	USA	North America	Fort Meade	Florida	Soil	Citrus	n/a	28.1022 N	81.712 W	Aspergillus fumigatus	Aspergillus fumigatus A17-54A-1	4 ug/ml	0.5 ug/ml	16 ug/ml	0.25 ug/ml	1 ug/ml	0.25 ug/ml	1 ug/ml Sensitive	eAF768
A17-48H-7	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/27/18	USA	North America	Wimauma	Florida	Soil	Watermelon	n/a	27.7611 N	82.2277 W	Aspergillus fischeri	Aspergillus fischeri A17-48H-7	>16 ug/ml	1 ug/ml	>16 ug/ml	0.5 ug/ml	0.125 ug/ml	1 ug/ml	16 ug/ml Resistant	eAF756
A17-49A-4	Aspergillus fumigatus, Environmental Isolates from Southeast USA			3/28/18	USA	North America	Fort Meade	Florida	Soil	Citrus	n/a	28.1022 N	81.712 W	Aspergillus fumigatus	Aspergillus fumigatus A17-49A-4	0.5 ug/ml	0.5 ug/ml	16 ug/ml	0.25 ug/ml	1.5 ug/ml	0.25 ug/ml	1 ug/ml Sensitive	eAF749
