Name	Description	SourceMTOverride	SourceMTOverride	latitude	longitude	Specimen Collection Date	Characteristics [country]	alternative sample ID	Characteristics [specimen]	resistance to ireaxonazole	Characteristics [fungus organism]	Characteristics [fungal strain]
C1				51.484577	-3.185252	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C1
C10				51.839927	-4.151486	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C10
C100				50.82253	-0.137163	2014	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C100
C103				51.507351	-0.127758	2015	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C103
C104				55.953252	-3.188267	2015	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C104
C105				55.953252	-3.188267	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C105
C106				51.507351	-0.127758	2014	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C106
C107				51.507351	-0.127758	2015	UK	MAT1-2	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C107
C108				52.205337	0.121817	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C108
C109				53.408371	-2.991573	2015	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C109
C11				51.839927	-4.151486	2015	UK	MAT1-2	Environmental	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C11
C110				51.481581	-3.17909	2015	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C110
C111				51.450179	-2.583294	2016	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C111
C112				51.518222	-0.058518	2016	UK	MAT1-2	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C112
C113				51.650746	-0.215259	2016	UK	MAT1-1	Clinical	Susceptible	Aspergillus fumigatus	Aspergillus fumigatus C113
C114				55.922125	-3.134835	2015	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C114
C115				51.486555	-0.219482	2017	UK	MAT1-1	Clinical	Resistant	Aspergillus fumigatus	Aspergillus fumigatus C115
