Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics [country]	Characteristics [continent]	Characteristics [Health status]	Characteristics [organism]	Characteristics [fungus organism]	Characteristics [specimen]	Lineage	Characteristics [fungal strain]
WM1434				missing	1997	South Africa	Africa	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGIV	missing		Cryptococcus gattii VGIV WM1434
WM14.321				missing	missing	uncalculated	uncalculated	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGIV	missing		Cryptococcus gattii VGIV WM14.321
WM12.66				missing	2005	Australia	Oceania	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGIV	missing		Cryptococcus gattii VGIV WM12.66
WM12.43				missing	2001	Australia	Oceania	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGIV	missing		Cryptococcus gattii VGIV WM12.43
WM08.314				missing	missing	uncalculated	uncalculated	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGIV	missing		Cryptococcus gattii VGIV WM08.314
WM05.378				missing	2003	Colombia	South America	not aplicable	not applicable	Cryptococcus gattii VGIV	Almond tree		Cryptococcus gattii VGIV WM05.378
WM05.376				missing	2003	Colombia	South America	not aplicable	not applicable	Cryptococcus gattii VGIV	Almond tree		Cryptococcus gattii VGIV WM05.376
WM05.374				missing	2003	Colombia	South America	not aplicable	not applicable	Cryptococcus gattii VGIV	Eucaliptus tree		Cryptococcus gattii VGIV WM05.374
WM2876				missing	1996	South Africa	Africa	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGIV	missing		Cryptococcus gattii VGIV WM2876
WM2670				missing	1996	South Africa	Africa	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGIV	missing		Cryptococcus gattii VGIV WM2670
WM2604				missing	1996	South Africa	Africa	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGIV	missing		Cryptococcus gattii VGIV WM2604
WM2579				missing	1996	South Africa	Africa	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGIV	missing		Cryptococcus gattii VGIV WM2579
WM2570				missing	1996	South Africa	Africa	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGIV	missing		Cryptococcus gattii VGIV WM2570
WM2568				missing	1996	South Africa	Africa	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGIV	missing		Cryptococcus gattii VGIV WM2568
WM2567				missing	1996	South Africa	Africa	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGIV	missing		Cryptococcus gattii VGIV WM2567
WM2364				missing	1997	India	Asia	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGIV	missing		Cryptococcus gattii VGIV WM2364
WM2363				missing	1997	India	Asia	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGIV	missing		Cryptococcus gattii VGIV WM2363
WM05.373				missing	2003	Colombia	South America	not aplicable	not applicable	Cryptococcus gattii VGIV	Eucaliptus tree		Cryptococcus gattii VGIV WM05.373
WM04.20				missing	1996	South Africa	Africa	Cryptococcosis	Homo sapiens	Cryptococcus gattii VGIV	missing		Cryptococcus gattii VGIV WM04.20
MRL_2153				NICD	2008	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2153
MRL_2854				NICD	2006	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2854
MRL_3995				NICD	2005	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	Blood culture	VGIV	Cryptococcus gattii VGIV MRL_3995
MRL_2530				NICD	2005	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2530
MRL_1722				NICD	2011	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1722
MRL_2060				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2060
MRL_772				NICD	2011	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_772
MRL_4009				NICD	2006	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_4009
MRL_4145				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_4145
MRL_1545				NICD	2010	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1545
MRL_3882				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_3882
MRL_3470				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_3470
MRL_3096				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_3096
MRL_3058				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_3058
MRL_2612				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2612
MRL_2414				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2414
MRL_2569				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2569
MRL_2217				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2217
MRL_2173				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	Blood culture	VGIV	Cryptococcus gattii VGIV MRL_2173
MRL_2172				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2172
MRL_918				NICD	2010	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_918
MRL_2133				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2133
MRL_2026				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2026
MRL_2025				NICD	2013	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_2025
MRL_1385				NICD	2012	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1385
MRL_1127				NICD	2012	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_1127
MRL_465				NICD	2012	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	Blood culture	VGIV	Cryptococcus gattii VGIV MRL_465
MRL_386				NICD	2012	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_386
MRL_348				NICD	2012	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_348
MRL_339				NICD	2012	South Africa	Africa	Meningitis	Homo sapiens	Cryptococcus gattii VGIV	CSF	VGIV	Cryptococcus gattii VGIV MRL_339
