Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Characteristics [fungus organism]	Characteristics [fungal strain]
AF41				JCVI	Aspergillus fumigatus	Aspergillus fumigatus AF41
AF72				JCVI	Aspergillus fumigatus	Aspergillus fumigatus AF72
AF90				JCVI	Aspergillus fumigatus	Aspergillus fumigatus AF90
F12041				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F12041
F12219				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F12219
F12636				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F12636
F13535				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F13535
F13619				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F13619
F13952				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F13952
F14403				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F14403
F14513G				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F14513G
F14532				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F14532
F14946G				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F14946G
F15390				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F15390
F15927				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F15927
F16134				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F16134
F16216				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F16216
F16311				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F16311
F17582				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F17582
F17729				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F17729
F17729W				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F17729W
F5211G				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F5211G
F18085				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F18085
F18149				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F18149
F7763				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F7763
F17764				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F17764
B5852				JCVI	Aspergillus fumigatus	Aspergillus fumigatus B5852
B5854				JCVI	Aspergillus fumigatus	Aspergillus fumigatus B5854
B5856				JCVI	Aspergillus fumigatus	Aspergillus fumigatus B5856
B5859				JCVI	Aspergillus fumigatus	Aspergillus fumigatus B5859
B5863				JCVI	Aspergillus fumigatus	Aspergillus fumigatus B5863
B5866				JCVI	Aspergillus fumigatus	Aspergillus fumigatus B5866
B5868				JCVI	Aspergillus fumigatus	Aspergillus fumigatus B5868
B6069				JCVI	Aspergillus fumigatus	Aspergillus fumigatus B6069
B6074				JCVI	Aspergillus fumigatus	Aspergillus fumigatus B6074
B6078				JCVI	Aspergillus fumigatus	Aspergillus fumigatus B6078
B6079				JCVI	Aspergillus fumigatus	Aspergillus fumigatus B6079
B6081				JCVI	Aspergillus fumigatus	Aspergillus fumigatus B6081
F11628				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F11628
F12865				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F12865
F15767				JCVI	Aspergillus fumigatus	Aspergillus fumigatus F15767
