Name	Description	SourceMTOverride	SourceMTOverride	characteristics [fungal genotype]	Characteristics [fungus organism]	alternative sample ID	Characteristics [specimen]	Characteristics[mating type]	Characteristics [fungal strain]
N6-34				F1 progeny	Neurospora crassa	Nc108	mycelia		Neurospora crassa N6-34
N6-31				F1 progeny	Neurospora crassa	Nc105	mycelia		Neurospora crassa N6-31
N6-30				F1 progeny	Neurospora crassa	Nc104	mycelia		Neurospora crassa N6-30
N6-3				F1 progeny	Neurospora crassa	Nc84	mycelia		Neurospora crassa N6-3
N6-26				F1 progeny	Neurospora crassa	Nc101	mycelia		Neurospora crassa N6-26
N6-23				F1 progeny	Neurospora crassa	Nc99	mycelia		Neurospora crassa N6-23
N6-20				F1 progeny	Neurospora crassa	Nc96	mycelia		Neurospora crassa N6-20
FGSC_2223				ecotype	Neurospora crassa	Nc405	mycelia	a	Neurospora crassa FGSC_2223
N6-205				F1 progeny	Neurospora crassa	Nc212	mycelia		Neurospora crassa N6-205
N6-19				F1 progeny	Neurospora crassa	Nc95	mycelia		Neurospora crassa N6-19
N6-199				F1 progeny	Neurospora crassa	Nc210	mycelia		Neurospora crassa N6-199
N6-197				F1 progeny	Neurospora crassa	Nc208	mycelia		Neurospora crassa N6-197
N6-194				F1 progeny	Neurospora crassa	Nc206	mycelia		Neurospora crassa N6-194
N6-193				F1 progeny	Neurospora crassa	Nc205	mycelia		Neurospora crassa N6-193
N6-18				F1 progeny	Neurospora crassa	Nc94	mycelia		Neurospora crassa N6-18
N6-188				F1 progeny	Neurospora crassa	Nc200	mycelia		Neurospora crassa N6-188
N6-185				F1 progeny	Neurospora crassa	Nc197	mycelia		Neurospora crassa N6-185
N6-184				F1 progeny	Neurospora crassa	Nc196	mycelia		Neurospora crassa N6-184
N6-183				F1 progeny	Neurospora crassa	Nc195	mycelia		Neurospora crassa N6-183
N6-182				F1 progeny	Neurospora crassa	Nc194	mycelia		Neurospora crassa N6-182
N6-180				F1 progeny	Neurospora crassa	Nc192	mycelia		Neurospora crassa N6-180
N6-179				F1 progeny	Neurospora crassa	Nc191	mycelia		Neurospora crassa N6-179
N6-166				F1 progeny	Neurospora crassa	Nc188	mycelia		Neurospora crassa N6-166
N6-165				F1 progeny	Neurospora crassa	Nc187	mycelia		Neurospora crassa N6-165
N6-160				F1 progeny	Neurospora crassa	Nc186	mycelia		Neurospora crassa N6-160
N6-148				F1 progeny	Neurospora crassa	Nc184	mycelia		Neurospora crassa N6-148
N6-135				F1 progeny	Neurospora crassa	Nc182	mycelia		Neurospora crassa N6-135
N6-15				F1 progeny	Neurospora crassa	Nc92	mycelia		Neurospora crassa N6-15
FGSC_4825				ecotype	Neurospora crassa	Nc77	mycelia	A	Neurospora crassa FGSC_4825
N6-9				F1 progeny	Neurospora crassa	Nc88	mycelia		Neurospora crassa N6-9
N6-67				F1 progeny	Neurospora crassa	Nc140	mycelia		Neurospora crassa N6-67
N6-65				F1 progeny	Neurospora crassa	Nc138	mycelia		Neurospora crassa N6-65
N6-63				F1 progeny	Neurospora crassa	Nc136	mycelia		Neurospora crassa N6-63
N6-61				F1 progeny	Neurospora crassa	Nc134	mycelia		Neurospora crassa N6-61
N6-59				F1 progeny	Neurospora crassa	Nc132	mycelia		Neurospora crassa N6-59
N6-58				F1 progeny	Neurospora crassa	Nc131	mycelia		Neurospora crassa N6-58
N6-56				F1 progeny	Neurospora crassa	Nc129	mycelia		Neurospora crassa N6-56
N6-25				F1 progeny	Neurospora crassa	Nc100	mycelia		Neurospora crassa N6-25
N6-123				F1 progeny	Neurospora crassa	Nc180	mycelia		Neurospora crassa N6-123
N6-114				F1 progeny	Neurospora crassa	Nc178	mycelia		Neurospora crassa N6-114
N6-113				F1 progeny	Neurospora crassa	Nc177	mycelia		Neurospora crassa N6-113
N6-111				F1 progeny	Neurospora crassa	Nc175	mycelia		Neurospora crassa N6-111
N6-13				F1 progeny	Neurospora crassa	Nc91	mycelia		Neurospora crassa N6-13
N6-99				F1 progeny	Neurospora crassa	Nc170	mycelia		Neurospora crassa N6-99
N6-96				F1 progeny	Neurospora crassa	Nc167	mycelia		Neurospora crassa N6-96
N6-94				F1 progeny	Neurospora crassa	Nc165	mycelia		Neurospora crassa N6-94
N6-93				F1 progeny	Neurospora crassa	Nc164	mycelia		Neurospora crassa N6-93
N6-92				F1 progeny	Neurospora crassa	Nc163	mycelia		Neurospora crassa N6-92
N6-11				F1 progeny	Neurospora crassa	Nc90	mycelia		Neurospora crassa N6-11
N6-89				F1 progeny	Neurospora crassa	Nc160	mycelia		Neurospora crassa N6-89
N6-88				F1 progeny	Neurospora crassa	Nc159	mycelia		Neurospora crassa N6-88
N6-86				F1 progeny	Neurospora crassa	Nc157	mycelia		Neurospora crassa N6-86
N6-84				F1 progeny	Neurospora crassa	Nc155	mycelia		Neurospora crassa N6-84
N6-82				F1 progeny	Neurospora crassa	Nc153	mycelia		Neurospora crassa N6-82
N6-79				F1 progeny	Neurospora crassa	Nc150	mycelia		Neurospora crassa N6-79
N6-77				F1 progeny	Neurospora crassa	Nc148	mycelia		Neurospora crassa N6-77
N6-72				F1 progeny	Neurospora crassa	Nc143	mycelia		Neurospora crassa N6-72
N6-54				F1 progeny	Neurospora crassa	Nc127	mycelia		Neurospora crassa N6-54
N6-52				F1 progeny	Neurospora crassa	Nc125	mycelia		Neurospora crassa N6-52
N6-49				F1 progeny	Neurospora crassa	Nc123	mycelia		Neurospora crassa N6-49
N6-48				F1 progeny	Neurospora crassa	Nc122	mycelia		Neurospora crassa N6-48
N6-5				F1 progeny	Neurospora crassa	Nc86	mycelia		Neurospora crassa N6-5
N6-45				F1 progeny	Neurospora crassa	Nc119	mycelia		Neurospora crassa N6-45
N6-43				F1 progeny	Neurospora crassa	Nc117	mycelia		Neurospora crassa N6-43
N6-41				F1 progeny	Neurospora crassa	Nc115	mycelia		Neurospora crassa N6-41
N6-39				F1 progeny	Neurospora crassa	Nc113	mycelia		Neurospora crassa N6-39
N6-38				F1 progeny	Neurospora crassa	Nc112	mycelia		Neurospora crassa N6-38
N6-36				F1 progeny	Neurospora crassa	Nc110	mycelia		Neurospora crassa N6-36
N6-33				F1 progeny	Neurospora crassa	Nc107	mycelia		Neurospora crassa N6-33
N6-32				F1 progeny	Neurospora crassa	Nc106	mycelia		Neurospora crassa N6-32
N6-29				F1 progeny	Neurospora crassa	Nc103	mycelia		Neurospora crassa N6-29
N6-28				F1 progeny	Neurospora crassa	Nc102	mycelia		Neurospora crassa N6-28
N6-22				F1 progeny	Neurospora crassa	Nc98	mycelia		Neurospora crassa N6-22
N6-21				F1 progeny	Neurospora crassa	Nc97	mycelia		Neurospora crassa N6-21
N6-238				F1 progeny	Neurospora crassa	Nc215	mycelia		Neurospora crassa N6-238
N6-234				F1 progeny	Neurospora crassa	Nc214	mycelia		Neurospora crassa N6-234
N6-210				F1 progeny	Neurospora crassa	Nc213	mycelia		Neurospora crassa N6-210
N6-200				F1 progeny	Neurospora crassa	Nc211	mycelia		Neurospora crassa N6-200
N6-198				F1 progeny	Neurospora crassa	Nc209	mycelia		Neurospora crassa N6-198
N6-196				F1 progeny	Neurospora crassa	Nc207	mycelia		Neurospora crassa N6-196
N6-192				F1 progeny	Neurospora crassa	Nc204	mycelia		Neurospora crassa N6-192
N6-191				F1 progeny	Neurospora crassa	Nc203	mycelia		Neurospora crassa N6-191
N6-190				F1 progeny	Neurospora crassa	Nc202	mycelia		Neurospora crassa N6-190
N6-189				F1 progeny	Neurospora crassa	Nc201	mycelia		Neurospora crassa N6-189
N6-187				F1 progeny	Neurospora crassa	Nc199	mycelia		Neurospora crassa N6-187
N6-186				F1 progeny	Neurospora crassa	Nc198	mycelia		Neurospora crassa N6-186
N6-181				F1 progeny	Neurospora crassa	Nc193	mycelia		Neurospora crassa N6-181
N6-16				F1 progeny	Neurospora crassa	Nc93	mycelia		Neurospora crassa N6-16
N6-178				F1 progeny	Neurospora crassa	Nc190	mycelia		Neurospora crassa N6-178
N6-177				F1 progeny	Neurospora crassa	Nc189	mycelia		Neurospora crassa N6-177
N6-151				F1 progeny	Neurospora crassa	Nc185	mycelia		Neurospora crassa N6-151
N6-142				F1 progeny	Neurospora crassa	Nc183	mycelia		Neurospora crassa N6-142
N6-2				F1 progeny	Neurospora crassa	Nc83	mycelia		Neurospora crassa N6-2
N6-69				F1 progeny	Neurospora crassa	Nc141	mycelia		Neurospora crassa N6-69
N6-66				F1 progeny	Neurospora crassa	Nc139	mycelia		Neurospora crassa N6-66
N6-64				F1 progeny	Neurospora crassa	Nc137	mycelia		Neurospora crassa N6-64
N6-62				F1 progeny	Neurospora crassa	Nc135	mycelia		Neurospora crassa N6-62
N6-60				F1 progeny	Neurospora crassa	Nc133	mycelia		Neurospora crassa N6-60
N6-6				F1 progeny	Neurospora crassa	Nc87	mycelia		Neurospora crassa N6-6
N6-57				F1 progeny	Neurospora crassa	Nc130	mycelia		Neurospora crassa N6-57
N6-55				F1 progeny	Neurospora crassa	Nc128	mycelia		Neurospora crassa N6-55
N6-133				F1 progeny	Neurospora crassa	Nc181	mycelia		Neurospora crassa N6-133
N6-119				F1 progeny	Neurospora crassa	Nc179	mycelia		Neurospora crassa N6-119
N6-112				F1 progeny	Neurospora crassa	Nc176	mycelia		Neurospora crassa N6-112
N6-110				F1 progeny	Neurospora crassa	Nc174	mycelia		Neurospora crassa N6-110
N6-109				F1 progeny	Neurospora crassa	Nc173	mycelia		Neurospora crassa N6-109
N6-101				F1 progeny	Neurospora crassa	Nc172	mycelia		Neurospora crassa N6-101
N6-100				F1 progeny	Neurospora crassa	Nc171	mycelia		Neurospora crassa N6-100
N6-98				F1 progeny	Neurospora crassa	Nc169	mycelia		Neurospora crassa N6-98
N6-97				F1 progeny	Neurospora crassa	Nc168	mycelia		Neurospora crassa N6-97
N6-95				F1 progeny	Neurospora crassa	Nc166	mycelia		Neurospora crassa N6-95
N6-91				F1 progeny	Neurospora crassa	Nc162	mycelia		Neurospora crassa N6-91
N6-90				F1 progeny	Neurospora crassa	Nc161	mycelia		Neurospora crassa N6-90
N6-87				F1 progeny	Neurospora crassa	Nc158	mycelia		Neurospora crassa N6-87
N6-85				F1 progeny	Neurospora crassa	Nc156	mycelia		Neurospora crassa N6-85
N6-83				F1 progeny	Neurospora crassa	Nc154	mycelia		Neurospora crassa N6-83
N6-81				F1 progeny	Neurospora crassa	Nc152	mycelia		Neurospora crassa N6-81
N6-10				F1 progeny	Neurospora crassa	Nc89	mycelia		Neurospora crassa N6-10
N6-80				F1 progeny	Neurospora crassa	Nc151	mycelia		Neurospora crassa N6-80
N6-78				F1 progeny	Neurospora crassa	Nc149	mycelia		Neurospora crassa N6-78
N6-76				F1 progeny	Neurospora crassa	Nc147	mycelia		Neurospora crassa N6-76
N6-75				F1 progeny	Neurospora crassa	Nc146	mycelia		Neurospora crassa N6-75
N6-74				F1 progeny	Neurospora crassa	Nc145	mycelia		Neurospora crassa N6-74
N6-73				F1 progeny	Neurospora crassa	Nc144	mycelia		Neurospora crassa N6-73
N6-71				F1 progeny	Neurospora crassa	Nc142	mycelia		Neurospora crassa N6-71
N6-53				F1 progeny	Neurospora crassa	Nc126	mycelia		Neurospora crassa N6-53
N6-50				F1 progeny	Neurospora crassa	Nc124	mycelia		Neurospora crassa N6-50
N6-47				F1 progeny	Neurospora crassa	Nc121	mycelia		Neurospora crassa N6-47
N6-46				F1 progeny	Neurospora crassa	Nc120	mycelia		Neurospora crassa N6-46
N6-44				F1 progeny	Neurospora crassa	Nc118	mycelia		Neurospora crassa N6-44
N6-42				F1 progeny	Neurospora crassa	Nc116	mycelia		Neurospora crassa N6-42
N6-40				F1 progeny	Neurospora crassa	Nc114	mycelia		Neurospora crassa N6-40
N6-4				F1 progeny	Neurospora crassa	Nc85	mycelia		Neurospora crassa N6-4
N6-37				F1 progeny	Neurospora crassa	Nc111	mycelia		Neurospora crassa N6-37
N6-35				F1 progeny	Neurospora crassa	Nc109	mycelia		Neurospora crassa N6-35
