Name	Description	SourceMTOverride	SourceMTOverride	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics[city]	Characteristics [organism]	Characteristics [fungus organism]	Characteristics [specimen]	Characteristics [specimen]	Characteristics [fungal strain]	alternative sample ID	characteristics [Repository ID]	Characteristics [FCZ]	Characteristics [ICZ]	Characteristics [AmB]
MEC225				10/6/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC225	D1.1	AMS5200	0.5	0.016	0.25
MEC226				10/6/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC226	D1.2	AMS5201	0.5	0.016	0.25
MEC227				10/6/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC227	D1.3	AMS5202	0.5	0.016	0.25
MEC228				10/6/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC228	D1.4	AMS5203	0.5	0.016	0.25
MEC229				10/7/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC229	D2.1	AMS5204	0.5	0.016	0.25
MEC230				10/7/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC230	D2.2	AMS5205	0.5	0.016	0.25
MEC231				10/8/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC231	D3.1	AMS5206	0.5	0.016	0.25
MEC232				10/9/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC232	D3.2	AMS5207	0.5	0.016	0.25
MEC233				10/8/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC233	D4.1	AMS5208	0.5	0.016	0.25
MEC234				10/9/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC234	D4.2	AMS5209	0.5	0.016	0.25
MEC235				10/10/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC235	D5.1	AMS5210	0.5	0.016	0.25
MEC236				10/10/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC236	D5.2	AMS5211	0.5	0.016	0.25
MEC237				10/11/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC237	D6.1	AMS5212	0.5	0.063	0.12
MEC238				10/11/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC238	D6.2	AMS5213	0.5	0.016	0.12
MEC239				10/12/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC239	D7.1	AMS5214	0.5	0.031	0.12
MEC240				10/12/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC240	D7.2	AMS5215	0.5	0.031	0.12
MEC241				10/13/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC241	D8.1	AMS5216	0.5	0.063	0.12
MEC242				10/13/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC242	D8.2	AMS5217	0.5	0.031	0.12
MEC243				10/14/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC243	D9.1	AMS5218	2	0.25	0.25
MEC244				10/16/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	blood	single colony culture MEC244	D11.1	AMS5219	0.5	1	0.25
MEC245				10/16/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	unavailable	single colony culture MEC245	unavailable	unavailable	unavailable	unavailable	unavailable
MEC285				12/19/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	unavailable	single colony culture MEC285	unavailable	unavailable	unavailable	unavailable	unavailable
MEC286				12/16/20	USA	North America	Minnesota	Homo sapiens	Clavispora lusitaniae	single colony culture	unavailable	single colony culture MEC286	unavailable	unavailable	unavailable	unavailable	unavailable
