Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [fungus organism]	Characteristics [fungal strain]
NCYC78	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC78
NCYC70	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC70
NCYC80	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC80
NCYC1245	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1245
NCYC90	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC90
NCYC89	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC89
NCYC1006	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1006
NCYC1026	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1026
NCYC82	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC82
NCYC88	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC88
NCYC83	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC83
NCYC79	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC79
NCYC85	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC85
NCYC81	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC81
NCYC96	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC96
NCYC84	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC84
NCYC86	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC86
NCYC72	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC72
NCYC2776	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2776
NCYC3030	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3030
NCYC2778	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2778
NCYC3036	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3036
NCYC3052	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3052
NCYC2777	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2777
NCYC3035	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3035
NCYC3125	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3125
NCYC3051	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3051
NCYC2798	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2798
NCYC3031	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3031
