Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics[city]	Characteristics[city]	Characteristics [organism]	Characteristics[environmental specimen]	Characteristics [fungus organism]	alternative sample ID	Characteristics [fungal strain]
SA_112				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_112	Parastagonospora nodorum SA_112
SA_109				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_109	Parastagonospora nodorum SA_109
SA_61				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_61	Parastagonospora nodorum SA_61
SA_35				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_35	Parastagonospora nodorum SA_35
SA_27				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_27	Parastagonospora nodorum SA_27
IR_B1.1B				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_B1.1b	Parastagonospora nodorum IR_B1.1B
IR_D2.1B				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_D2.1b	Parastagonospora nodorum IR_D2.1B
IR_10.11.2A				Mohammad Razavi	2010	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	IR10_11.2a	Parastagonospora nodorum IR_10.11.2A
IR_B2.1B				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	infected glume	Parastagonospora nodorum	SNIR05_B2.1b	Parastagonospora nodorum IR_B2.1B
IR_9.1A				Mohammad Razavi	2010	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	seeds	Parastagonospora nodorum	IR10_9.1a	Parastagonospora nodorum IR_9.1A
IR_2_5.2				Mohammad Razavi	2011	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	Dactylis glomerata	leaf	Parastagonospora nodorum	SN11IR_2_5.2	Parastagonospora nodorum IR_2_5.2
IR_7_2.3				Mohammad Razavi	2011	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	Dactylis glomerata	leaf	Parastagonospora nodorum	SN11IR_7_2.3	Parastagonospora nodorum IR_7_2.3
IR_H6.2B				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_H6.2B	Parastagonospora nodorum IR_H6.2B
IR_5.2B				Mohammad Razavi	2010	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	seeds	Parastagonospora nodorum	IR10_5.2b	Parastagonospora nodorum IR_5.2B
AUS_1E4				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1E4	Parastagonospora nodorum AUS_1E4
CHI_20A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_20a	Parastagonospora nodorum CHI_20A
CHI_1A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_1a	Parastagonospora nodorum CHI_1A
CHI_19A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_19a	Parastagonospora nodorum CHI_19A
CHI_14A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_14a	Parastagonospora nodorum CHI_14A
CHI_60A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_60a	Parastagonospora nodorum CHI_60A
CHI_11A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_11a	Parastagonospora nodorum CHI_11A
CHI_34A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_34a	Parastagonospora nodorum CHI_34A
CHI_32A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_32a	Parastagonospora nodorum CHI_32A
CHI_2A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_2a	Parastagonospora nodorum CHI_2A
CHI_27A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_27a	Parastagonospora nodorum CHI_27A
CHI_24A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_24a	Parastagonospora nodorum CHI_24A
CHI_10A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_10a	Parastagonospora nodorum CHI_10A
CASSILS				R. Clear	2005	Canada	North America	n/a	n/a	wheat	seeds	Parastagonospora nodorum	SN05Can_Cassils	Parastagonospora nodorum CASSILS
AYLSHAM				R. Clear	2005	Canada	North America	n/a	n/a	wheat	seeds	Parastagonospora nodorum	SN05Can_Aylsham	Parastagonospora nodorum AYLSHAM
AUS_1C7				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1C7	Parastagonospora nodorum AUS_1C7
TX_XC1.1				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XC1.1	Parastagonospora nodorum TX_XC1.1
TX_XA5C2				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XA5c.2	Parastagonospora nodorum TX_XA5C2
TX_XA3C1				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XA3c.1	Parastagonospora nodorum TX_XA3C1
TX_XA3B1				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XA3b.1	Parastagonospora nodorum TX_XA3B1
TX_XA3A1				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XA3a.1	Parastagonospora nodorum TX_XA3A1
TX_XH2.3				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XH2.3	Parastagonospora nodorum TX_XH2.3
TX_XH2.1				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XH2.1	Parastagonospora nodorum TX_XH2.1
TX_XA2.4				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XA2.4	Parastagonospora nodorum TX_XA2.4
AUS_1B6				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1B6	Parastagonospora nodorum AUS_1B6
TX_XD3.1				Lloyd Nelson and Bruce A. McDonald	1992	USA	North America	 Overton	 Texas	wheat	leaf	Parastagonospora nodorum	SNOV92XD3.1	Parastagonospora nodorum TX_XD3.1
