name	description	body_site	sample_type	body_habitat	host_common_name	env_feature	country	region	latitude	longitude	location	site	exposure to pyrethroid insecticide	host_life_stage	phenotype
SRS4060924.SRR8216101	PALasCr1PERRInt18S206	internal organs	Adult internal	internal microbiota	Anopheles albimanus	Insect	Guatemala	V3-V4	14.0833	-91.15	Guatemala: Las Cruces, La Gomera, Escuintla	Las Cruces 1	topical exposure to permethrin	Non-gravid adult female, 2-5 days old	pyrethroid resistant
SRS4060931.SRR8216094	PALasCr1PERRInt19S196	internal organs	Adult internal	internal microbiota	Anopheles albimanus	Insect	Guatemala	V3-V4	14.0833	-91.15	Guatemala: Las Cruces, La Gomera, Escuintla	Las Cruces 1	topical exposure to permethrin	Non-gravid adult female, 2-5 days old	pyrethroid resistant
SRS4060930.SRR8216095	PALasCr1PERRInt20S186	internal organs	Adult internal	internal microbiota	Anopheles albimanus	Insect	Guatemala	V3-V4	14.0833	-91.15	Guatemala: Las Cruces, La Gomera, Escuintla	Las Cruces 1	topical exposure to permethrin	Non-gravid adult female, 2-5 days old	pyrethroid resistant
SRS4060932.SRR8216093	PALasCr1PERSInt21S176	internal organs	Adult internal	internal microbiota	Anopheles albimanus	Insect	Guatemala	V3-V4	14.0833	-91.15	Guatemala: Las Cruces, La Gomera, Escuintla	Las Cruces 1	topical exposure to permethrin	Non-gravid adult female, 2-5 days old	pyrethroid susceptible
SRS4060943.SRR8216082	PALasCr1PERSInt22S166	internal organs	Adult internal	internal microbiota	Anopheles albimanus	Insect	Guatemala	V3-V4	14.0833	-91.15	Guatemala: Las Cruces, La Gomera, Escuintla	Las Cruces 1	topical exposure to permethrin	Non-gravid adult female, 2-5 days old	pyrethroid susceptible
SRS4060942.SRR8216083	PALasCr1PERSInt23S156	internal organs	Adult internal	internal microbiota	Anopheles albimanus	Insect	Guatemala	V3-V4	14.0833	-91.15	Guatemala: Las Cruces, La Gomera, Escuintla	Las Cruces 1	topical exposure to permethrin	Non-gravid adult female, 2-5 days old	pyrethroid susceptible
SRS4060938.SRR8216087	PALasCr1UNXInt24S146	internal organs	Adult internal	internal microbiota	Anopheles albimanus	Insect	Guatemala	V3-V4	14.0833	-91.15	Guatemala: Las Cruces, La Gomera, Escuintla	Las Cruces 1		Non-gravid adult female, 2-5 days old	undetermined
SRS4060937.SRR8216088	PALasCr1UNXInt25S215	internal organs	Adult internal	internal microbiota	Anopheles albimanus	Insect	Guatemala	V3-V4	14.0833	-91.15	Guatemala: Las Cruces, La Gomera, Escuintla	Las Cruces 1		Non-gravid adult female, 2-5 days old	undetermined
SRS4060936.SRR8216089	PALasCr1UNXInt26S205	internal organs	Adult internal	internal microbiota	Anopheles albimanus	Insect	Guatemala	V3-V4	14.0833	-91.15	Guatemala: Las Cruces, La Gomera, Escuintla	Las Cruces 1		Non-gravid adult female, 2-5 days old	undetermined
SRS4060907.SRR8216118	PALasCr3ALPRInt33S214	internal organs	Adult internal	internal microbiota	Anopheles albimanus	Insect	Guatemala	V3-V4	14.0833	-91.15	Guatemala: Las Cruces, La Gomera, Escuintla	Las Cruces 3	topical exposure to alphacypermethrin	Non-gravid adult female, 2-5 days old	pyrethroid resistant
SRS4060904.SRR8216121	PALasCr3ALPRInt34S204	internal organs	Adult internal	internal microbiota	Anopheles albimanus	Insect	Guatemala	V3-V4	14.0833	-91.15	Guatemala: Las Cruces, La Gomera, Escuintla	Las Cruces 3	topical exposure to alphacypermethrin	Non-gravid adult female, 2-5 days old	pyrethroid resistant
SRS4060905.SRR8216120	PALasCr3ALPRInt35S194	internal organs	Adult internal	internal microbiota	Anopheles albimanus	Insect	Guatemala	V3-V4	14.0833	-91.15	Guatemala: Las Cruces, La Gomera, Escuintla	Las Cruces 3	topical exposure to alphacypermethrin	Non-gravid adult female, 2-5 days old	pyrethroid resistant
SRS4060909.SRR8216116	PALasCr3ALPSInt36S184	internal organs	Adult internal	internal microbiota	Anopheles albimanus	Insect	Guatemala	V3-V4	14.0833	-91.15	Guatemala: Las Cruces, La Gomera, Escuintla	Las Cruces 3	topical exposure to alphacypermethrin	Non-gravid adult female, 2-5 days old	pyrethroid susceptible
SRS4060902.SRR8216123	PALasCr3ALPSInt37S174	internal organs	Adult internal	internal microbiota	Anopheles albimanus	Insect	Guatemala	V3-V4	14.0833	-91.15	Guatemala: Las Cruces, La Gomera, Escuintla	Las Cruces 3	topical exposure to alphacypermethrin	Non-gravid adult female, 2-5 days old	pyrethroid susceptible
SRS4060903.SRR8216122	PALasCr3ALPSInt38S164	internal organs	Adult internal	internal microbiota	Anopheles albimanus	Insect	Guatemala	V3-V4	14.0833	-91.15	Guatemala: Las Cruces, La Gomera, Escuintla	Las Cruces 3	topical exposure to alphacypermethrin	Non-gravid adult female, 2-5 days old	pyrethroid susceptible
SRS4060886.SRR8216139	PALasCr3PERRInt27S195	internal organs	Adult internal	internal microbiota	Anopheles albimanus	Insect	Guatemala	V3-V4	14.0833	-91.15	Guatemala: Las Cruces, La Gomera, Escuintla	Las Cruces 3	topical exposure to permethrin	Non-gravid adult female, 2-5 days old	pyrethroid resistant
