name	description	sourcemtoverride	samplemtoverride	mom_child	sex	subject	body_product	body_site	host_common_name	sample_type	body_habitat	env_feature
SRS6989915	Piglet 7F			Piglet	female	7F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989914	Piglet 9M			Piglet	male	9M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989913	Piglet 3M			Piglet	male	3M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989912	Sow 8907 P5			Sow	female	8907 P5	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989911	Piglet 11F			Piglet	female	11F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989910	Sow 8907 P5			Sow	female	8907 P5	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989909	Piglet 4F			Piglet	female	4F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989908	Piglet 3M			Piglet	male	3M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989907	Piglet 1F			Piglet	female	1F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989906	Sow 7168 P5			Sow	female	7168 P5	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989904	Sow 7168 P5			Sow	female	7168 P5	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989905	Piglet 5M			Piglet	male	5M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989903	Piglet 8M			Piglet	male	8M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989902	Piglet 5F			Piglet	female	5F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989901	Sow 5545 P6			Sow	female	5545 P6	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989900	Piglet 10M			Piglet	male	10M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989899	Sow 5545 P6			Sow	female	5545 P6	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989898	Piglet 6M			Piglet	male	6M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989897	Piglet 4M			Piglet	male	4M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989896	Sow 5161 P3			Sow	female	5161 P3	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989895	Piglet 11F			Piglet	female	11F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989894	Sow 5161 P3			Sow	female	5161 P3	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989893	Sow 1002 P3			Sow	female	1002 P3	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989892	Piglet 9F			Piglet	female	9F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989891	Piglet 4M			Piglet	male	4M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989890	Sow 4662 P3			Sow	female	4662 P3	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989889	Piglet 11F			Piglet	female	11F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989888	Sow 4662 P3			Sow	female	4662 P3	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989887	Piglet 9F			Piglet	female	9F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989886	Piglet 8F			Piglet	female	8F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989885	Piglet 4M			Piglet	male	4M	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989884	Sow 4108 P0			Sow	female	4108 P0	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989883	Sow 4108 P0			Sow	female	4108 P0	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989882	Piglet 10F			Piglet	female	10F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989881	Piglet 9F			Piglet	female	9F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
SRS6989880	Piglet 6F			Piglet	female	6F	UBERON:feces	colon	Pig	Stool	colon	Veterinary animal
