name	description	sourcemtoverride	samplemtoverride	body_habitat	body_product	body_site	sample_type	collection_timestamp	country	elevation	env_biome	env_feature	env_matter	family	host_common_name	host_subject_id	house	latitude	life_stage	longitude	move_time	moved	notes	number_children	number_residents_human	percent_adult_residents	percent_male	pet_farm_animal	sex	source	role	subject	surface	title
ERS453111.ERR502985_1	Sample 2192.H01a.Bathroom.Door.Knob.102.lane1.NoIndex.L001						Bathroom door knob swab	2/14/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bathroom_Door_Knob	Gilbert_house_forensics_BE
ERS454521.ERR504395_1	Sample 2192.H01a.Bathroom.Door.Knob.126.lane1.NoIndex.L001						Bathroom door knob swab	2/15/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bathroom_Door_Knob	Gilbert_house_forensics_BE
ERS454377.ERR504251_1	Sample 2192.H01a.Bathroom.Door.Knob.150.lane1.NoIndex.L001						Bathroom door knob swab	2/16/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE	Jack in Vancouver	2	4	0.5	0.75	none		House		House_01a	Bathroom_Door_Knob	Gilbert_house_forensics_BE
ERS453541.ERR503415_1	Sample 2192.H01a.Bathroom.Door.Knob.174.lane2.NoIndex.L002						Bathroom door knob swab	2/17/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE	Bag Metadata missing assuming 8:40pm, no cleaning	2	4	0.5	0.75	none		House		House_01a	Bathroom_Door_Knob	Gilbert_house_forensics_BE
ERS454257.ERR504131_1	Sample 2192.H01a.Bathroom.Door.Knob.198.lane2.NoIndex.L002						Bathroom door knob swab	2/18/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE	Jack in Vancouver	2	4	0.5	0.75	none		House		House_01a	Bathroom_Door_Knob	Gilbert_house_forensics_BE
ERS453886.ERR503760_1	Sample 2192.H01a.Bathroom.Door.Knob.222.lane2.NoIndex.L002						Bathroom door knob swab	2/19/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bathroom_Door_Knob	Gilbert_house_forensics_BE
ERS453930.ERR503804_1	Sample 2192.H01a.Bathroom.Door.Knob.246.lane2.NoIndex.L002						Bathroom door knob swab	2/21/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE	2 Guests - 1 Males, 1 Female	2	4	0.5	0.75	none		House		House_01a	Bathroom_Door_Knob	Gilbert_house_forensics_BE
ERS454607.ERR504481_1	Sample 2192.H01a.Bathroom.Door.Knob.270.lane2.NoIndex.L002						Bathroom door knob swab	2/22/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bathroom_Door_Knob	Gilbert_house_forensics_BE
ERS454444.ERR504318_1	Sample 2192.H01a.Bathroom.Door.Knob.294.lane2.NoIndex.L002						Bathroom door knob swab	2/24/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bathroom_Door_Knob	Gilbert_house_forensics_BE
ERS453844.ERR503718_1	Sample 2192.H01a.Bathroom.Door.Knob.30.lane1.NoIndex.L001						Bathroom door knob swab	2/11/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bathroom_Door_Knob	Gilbert_house_forensics_BE
ERS454031.ERR503905_1	Sample 2192.H01a.Bathroom.Door.Knob.318.lane2.NoIndex.L002						Bathroom door knob swab	2/26/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE	Turtle Tank Cleaned - By Kitchen Sink	2	4	0.5	0.75	none		House		House_01a	Bathroom_Door_Knob	Gilbert_house_forensics_BE
ERS454552.ERR504426_1	Sample 2192.H01a.Bathroom.Door.Knob.54.lane1.NoIndex.L001						Bathroom door knob swab	2/12/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bathroom_Door_Knob	Gilbert_house_forensics_BE
ERS454067.ERR503941_1	Sample 2192.H01a.Bathroom.Door.Knob.6.lane1.NoIndex.L001						Bathroom door knob swab	2/10/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bathroom_Door_Knob	Gilbert_house_forensics_BE
ERS453812.ERR503686_1	Sample 2192.H01a.Bathroom.Door.Knob.78.lane1.NoIndex.L001						Bathroom door knob swab	2/13/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bathroom_Door_Knob	Gilbert_house_forensics_BE
ERS454229.ERR504103_1	Sample 2192.H01a.Bedroom.Floor.100.lane1.NoIndex.L001						Bedroom floor swab	2/14/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bedroom_Floor	Gilbert_house_forensics_BE
ERS454140.ERR504014_1	Sample 2192.H01a.Bedroom.Floor.124.lane1.NoIndex.L001						Bedroom floor swab	2/15/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bedroom_Floor	Gilbert_house_forensics_BE
ERS453868.ERR503742_1	Sample 2192.H01a.Bedroom.Floor.148.lane1.NoIndex.L001						Bedroom floor swab	2/16/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE	Jack in Vancouver	2	4	0.5	0.75	none		House		House_01a	Bedroom_Floor	Gilbert_house_forensics_BE
ERS454279.ERR504153_1	Sample 2192.H01a.Bedroom.Floor.172.lane2.NoIndex.L002						Bedroom floor swab	2/17/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE	Bag Metadata missing assuming 8:40pm, no cleaning	2	4	0.5	0.75	none		House		House_01a	Bedroom_Floor	Gilbert_house_forensics_BE
ERS454430.ERR504304_1	Sample 2192.H01a.Bedroom.Floor.196.lane2.NoIndex.L002						Bedroom floor swab	2/18/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE	Jack in Vancouver	2	4	0.5	0.75	none		House		House_01a	Bedroom_Floor	Gilbert_house_forensics_BE
ERS453416.ERR503290_1	Sample 2192.H01a.Bedroom.Floor.220.lane2.NoIndex.L002						Bedroom floor swab	2/19/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bedroom_Floor	Gilbert_house_forensics_BE
ERS454299.ERR504173_1	Sample 2192.H01a.Bedroom.Floor.244.lane2.NoIndex.L002						Bedroom floor swab	2/21/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE	2 Guests - 1 Males, 1 Female	2	4	0.5	0.75	none		House		House_01a	Bedroom_Floor	Gilbert_house_forensics_BE
ERS454386.ERR504260_1	Sample 2192.H01a.Bedroom.Floor.268.lane2.NoIndex.L002						Bedroom floor swab	2/22/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bedroom_Floor	Gilbert_house_forensics_BE
ERS453471.ERR503345_1	Sample 2192.H01a.Bedroom.Floor.28.lane1.NoIndex.L001						Bedroom floor swab	2/11/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bedroom_Floor	Gilbert_house_forensics_BE
ERS453832.ERR503706_1	Sample 2192.H01a.Bedroom.Floor.292.lane2.NoIndex.L002						Bedroom floor swab	2/24/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bedroom_Floor	Gilbert_house_forensics_BE
ERS453327.ERR503201_1	Sample 2192.H01a.Bedroom.Floor.316.lane2.NoIndex.L002						Bedroom floor swab	2/26/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE	Turtle Tank Cleaned - By Kitchen Sink	2	4	0.5	0.75	none		House		House_01a	Bedroom_Floor	Gilbert_house_forensics_BE
ERS453297.ERR503171_1	Sample 2192.H01a.Bedroom.Floor.4.lane1.NoIndex.L001						Bedroom floor swab	2/10/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bedroom_Floor	Gilbert_house_forensics_BE
ERS453407.ERR503281_1	Sample 2192.H01a.Bedroom.Floor.52.lane1.NoIndex.L001						Bedroom floor swab	2/12/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bedroom_Floor	Gilbert_house_forensics_BE
ERS454365.ERR504239_1	Sample 2192.H01a.Bedroom.Floor.76.lane1.NoIndex.L001						Bedroom floor swab	2/13/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	1			H01a	41.88		-87.63		FALSE		2	4	0.5	0.75	none		House		House_01a	Bedroom_Floor	Gilbert_house_forensics_BE
ERS454484.ERR504358_1	Sample 2192.H01a.Foot.104.lane2.NoIndex.L002			UBERON:skin	UBERON:sebum	UBERON:skin of foot	Skin swab	2/14/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:human-associated habitat		1	human	Person_01.1	H01a	41.88	adult	-87.63		FALSE		2	4	0.5	0.75	none	male	Person		Person_01.1		Gilbert_house_forensics_BE
ERS453887.ERR503761_1	Sample 2192.H01a.Foot.107.lane2.NoIndex.L002			UBERON:skin	UBERON:sebum	UBERON:skin of foot	Skin swab	2/14/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:human-associated habitat		1	human	Person_01.2	H01a	41.88	adult	-87.63		FALSE		2	4	0.5	0.75	none	female	Person		Person_01.2		Gilbert_house_forensics_BE
ERS454037.ERR503911_1	Sample 2192.H01a.Foot.11.lane1.NoIndex.L001			UBERON:skin	UBERON:sebum	UBERON:skin of foot	Skin swab	2/10/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:human-associated habitat		1	human	Person_01.2	H01a	41.88	adult	-87.63		FALSE		2	4	0.5	0.75	none	female	Person		Person_01.2		Gilbert_house_forensics_BE
ERS454545.ERR504419_1	Sample 2192.H01a.Foot.110.lane2.NoIndex.L002			UBERON:skin	UBERON:sebum	UBERON:skin of foot	Skin swab	2/14/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:human-associated habitat		1	human	Person_01.3	H01a	41.88	child	-87.63		FALSE		2	4	0.5	0.75	none	male	Person		Person_01.3		Gilbert_house_forensics_BE
ERS453849.ERR503723_1	Sample 2192.H01a.Foot.113.lane2.NoIndex.L002			UBERON:skin	UBERON:sebum	UBERON:skin of foot	Skin swab	2/14/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:human-associated habitat		1	human	Person_01.4	H01a	41.88	child	-87.63		FALSE		2	4	0.5	0.75	none	male	Person		Person_01.4		Gilbert_house_forensics_BE
ERS453196.ERR503070_1	Sample 2192.H01a.Foot.128.lane2.NoIndex.L002			UBERON:skin	UBERON:sebum	UBERON:skin of foot	Skin swab	2/15/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:human-associated habitat		1	human	Person_01.1	H01a	41.88	adult	-87.63		FALSE		2	4	0.5	0.75	none	male	Person		Person_01.1		Gilbert_house_forensics_BE
ERS454563.ERR504437_1	Sample 2192.H01a.Foot.131.lane2.NoIndex.L002			UBERON:skin	UBERON:sebum	UBERON:skin of foot	Skin swab	2/15/12	GAZ:United States of America	181.32	ENVO:urban biome	ENVO:human-associated habitat		1	human	Person_01.2	H01a	41.88	adult	-87.63		FALSE		2	4	0.5	0.75	none	female	Person		Person_01.2		Gilbert_house_forensics_BE
