name	description	sourcemtoverride	samplemtoverride	SRA Accession #	SubjectID	Date Collected	Location	Latitude	Longitude	Country	body_site	body_habitat	body_product	sample_type	species common name	species	genus	subspecies	extraction_kit	miseq_run_number	Weight_to_use	habitat	Diet
AmericanGuineaPig.0.Feces.1.1				SRS2444597	0		"Elizabethtown, PA Fair"	N 40.152872¡	W 76.602745¡	USA	Colon	UBERON:feces	Colon	Stool	Guinea Pig	porcellus	cavia		MOBIO POWERSOIL HTP	2	800	domestic	Herbivore
BeardedDragon.0.Feces.1.1				SRS2444596	0		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	Colon	UBERON:feces	Colon	Stool	Bearded Dragon	barbata	pogona		MOBIO POWERSOIL HTP	1	396.5	domestic	Omnivore
Bedbug.1.Gut.1.1				SRS2444598	1		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut	Bedbug	lectularius	cimex		Qiagen UCP Pathogen Mini Kit	2	0.0009	lab	Carnivore
Bedbug.3.Gut.1.1				SRS2444600	3		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut	Bedbug	lectularius	cimex		Qiagen UCP Pathogen Mini Kit	2	0.0032	lab	Carnivore
Bedbug.6.Gut.1.1				SRS2444603	6		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut	Bedbug	lectularius	cimex		Qiagen UCP Pathogen Mini Kit	2	0.0026	lab	Carnivore
Alpaca.0.Feces.1.1				SRS2444595	0		"Elizabethtown, PA Fair"	N 40.152872¡	W 76.602745¡	USA	Colon	UBERON:feces	Colon	Stool	Alpaca	pacos	vicugna		MOBIO POWERSOIL HTP	2	60000	domestic	Herbivore
Bee.M1.Gut.1.1				SRS2444784	M1		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut	Western Honey Bee	mellifera	apis		Qiagen UCP Pathogen Mini Kit	2	0.0882	wild	Herbivore
Bee.M2.Gut.1.1				SRS2444782	M2		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut	Long-horned Bee	bimaculata	melissodes		Qiagen UCP Pathogen Mini Kit	2	0.0924	wild	Herbivore
Bee.M3.Gut.1.1				SRS2444783	M3		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut	European Wool Carder Bee	manicatum	anthidium		Qiagen UCP Pathogen Mini Kit	2	0.0649	wild	Herbivore
Bee.M4.Gut.1.1				SRS2444788	M4		"Philadelphia, PA"	N 39.952584¡	W 75.165222¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut	Two-spotted Bumble Bee	bimaculatus	bombus		Qiagen UCP Pathogen Mini Kit	2	0.2522	wild	Herbivore
Bee.R2.Gut.1.1				SRS2444787	R2		"Rose Valley, PA"	N 39.896223¡	W 75.384915¡	USA	UBERON:multi-cellular organism		UBERON:intestine	Gut	Two-spotted Bumble Bee	bimaculatus	bombus		Qiagen UCP Mini Pathogen Kit	2	0.1277	wild	Herbivore
Bonobo.IKpp3158.Feces.1.1				SRS2444921	IKpp3158	3/21/11	Ikela	S 1¡11.200'	E 23¡44.790'	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Bonobo	paniscus	pan		MOBIO POWERSOIL HTP	1	35000	wild	Omnivore
Bonobo.IKpp3276.Feces.1.1				SRS2444920	IKpp3276	3/21/11	Ikela	"S 1¡06'41.2"""	"E 23¡36'55.4"""	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Bonobo	paniscus	pan		MOBIO POWERSOIL HTP	1	35000	wild	Omnivore
Bonobo.IKpp3358.Feces.1.1				SRS2444919	IKpp3358	4/11/11	Ikela	"S 1¡07'47"""	"E 23¡37'25"""	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Bonobo	paniscus	pan		MOBIO POWERSOIL HTP	1	35000	wild	Omnivore
Bonobo.IKpp3469.Feces.1.1				SRS2444918	IKpp3469	7/7/11	Ikela	S 1¡07.724'	E 23¡41.576	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Bonobo	paniscus	pan		MOBIO POWERSOIL HTP	1	35000	wild	Omnivore
Bonobo.IKpp3513.Feces.1.1				SRS2444917	IKpp3513	7/9/11	Ikela	"S 1¡07'03.4"""	E 23¡38'34.4	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Bonobo	paniscus	pan		MOBIO POWERSOIL HTP	1	35000	wild	Omnivore
Bonobo.IKpp3650.Feces.1.1				SRS2444916	IKpp3650	12/14/11	Ikela	"S 1¡07'38.3"""	"E 23¡37'30.6"""	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Bonobo	paniscus	pan		MOBIO POWERSOIL HTP	1	35000	wild	Omnivore
Bonobo.IKpp3701.Feces.1.1				SRS2444915	IKpp3701	12/20/11	Ikela	S 1¡08.677'	E 23¡41.501'	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Bonobo	paniscus	pan		MOBIO POWERSOIL HTP	1	35000	wild	Omnivore
Bonobo.IKpp3777.Feces.1.1				SRS2444925	IKpp3777	1/5/12	Ikela	"S 1¡07.390"""	E 23¡37.308	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Bonobo	paniscus	pan		MOBIO POWERSOIL HTP	1	35000	wild	Omnivore
Bonobo.IKpp4184.Feces.1.1				SRS2444924	IKpp4184	10/18/14	Ikela	"S 1¡07'43.7"""	"E 23¡39'49.9"""	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Bonobo	paniscus	pan		MOBIO POWERSOIL HTP	1	35000	wild	Omnivore
Bonobo.IKpp4214.Feces.1.1				SRS2444558	IKpp4214	11/27/14	Ikela	"S 1¡09'19.7"""	"E 23¡37'10.2"""	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Bonobo	paniscus	pan		MOBIO POWERSOIL HTP	1	35000	wild	Omnivore
Bonobo.KRpp02.Feces.1.1				SRS2444559	KRpp02	9/28/06	Kokolopori	"N 0¡12'43.21"""	"E 22¡51'09.45"""	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Bonobo	paniscus	pan		MOBIO POWERSOIL HTP	1	35000	wild	Omnivore
Bonobo.KRpp05.Feces.1.1				SRS2444560	KRpp05	9/29/06	Kokolopori	"N 0¡12'43.21"""	"E 22¡51'09.45"""	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Bonobo	paniscus	pan		MOBIO POWERSOIL HTP	1	35000	wild	Omnivore
Bonobo.KRpp07.Feces.1.1				SRS2444561	KRpp07	10/21/06	Kokolopori	"N 0¡12'43.21"""	"E 22¡51'09.45"""	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Bonobo	paniscus	pan		MOBIO POWERSOIL HTP	1	35000	wild	Omnivore
Bonobo.KRpp10.Feces.1.1				SRS2444562	KRpp10	10/21/06	Kokolopori	"N 0¡12'43.21"""	"E 22¡51'09.45"""	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Bonobo	paniscus	pan		MOBIO POWERSOIL HTP	1	35000	wild	Omnivore
Bonobo.KRpp12.Feces.1.1				SRS2444563	KRpp12	10/28/06	Kokolopori	"N 0¡12'43.21"""	"E 22¡51'09.45"""	Democratic Republic of the Congo	Colon	UBERON:feces	Colon	Stool	Bonobo	paniscus	pan		MOBIO POWERSOIL HTP	1	35000	wild	Omnivore
