name	run_prefix_prep	region	case_control	Parasite_found_species	Parasite_found_type	host_common_name	VHUP_#	sample_type	title	host_sex	Animal sterilization	age	description	sourcemtoverride	samplemtoverride	body_habitat	body_product	body_site	env_feature	
12758	11	V4	Case	Ancylostoma caninum	Helminth	Dog	Client-owned animal	Stool	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	1.08 years				Colon	UBERON:feces	Colon	ENVO:animal-associated habitat
12759	11	V4	Control	none	none	Dog	Client-owned animal	Stool	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	1.08 years				Colon	UBERON:feces	Colon	ENVO:animal-associated habitat
12760	11	V4	Case	Ancylostoma caninum	Helminth	Dog	Client-owned animal	Stool	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.25 years				Colon	UBERON:feces	Colon	ENVO:animal-associated habitat
12762	11	V4	Case	Ancylostoma caninum	Helminth	Dog	Client-owned animal	Stool	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	1.2 years				Colon	UBERON:feces	Colon	ENVO:animal-associated habitat
12763	11	V4	Control	none	none	Dog	Client-owned animal	Stool	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	1.2 years				Colon	UBERON:feces	Colon	ENVO:animal-associated habitat
12764	11	V4	Case	Ancylostoma caninum	Helminth	Dog	Client-owned animal	Stool	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	2 years				Colon	UBERON:feces	Colon	ENVO:animal-associated habitat
12765	11	V4	Case	Capillaria boehmi	Helminth	Dog	Client-owned animal	Stool	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	8 years				Colon	UBERON:feces	Colon	ENVO:animal-associated habitat
12766	11	V4	Case	Cystoisospora canis	Protozoan (coccidian)	Dog	Client-owned animal	Stool	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	12 years				Colon	UBERON:feces	Colon	ENVO:animal-associated habitat
12767	11	V4	Case	Cystoisospora ohioensis	Protozoan (coccidian)	Dog	Client-owned animal	Stool	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.17 years				Colon	UBERON:feces	Colon	ENVO:animal-associated habitat
12768	11	V4	Case	Dipylidium caninum	Tapeworm	Dog	Client-owned animal	Stool	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	1.4 years				Colon	UBERON:feces	Colon	ENVO:animal-associated habitat
