name	description	sourcemtoverride	samplemtoverride	region	host_subject_id	host_common_name	title	Timepoint post-treatment	phenotype	Breed_Strain	host_sex	CCECAI	body_habitat	body_product	body_site	sample_type	env_feature
12240	Augustus_d0_DogDuodenum			V4	C166_36	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	English Mastiff	Male	5	Duodenum	bodily fluid	Duodenum	Duodenum biopsy	ENVO:animal-associated habitat
12241	Augustus_d0_DogStomach			V4	C166_36	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	English Mastiff	Male	5	Stomach	gastric juice	Stomach	Stomach biopsy	ENVO:animal-associated habitat
12647	Augustus_d0_DogFecal			V4	C166_36	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	English Mastiff	Male	5	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
12648	Augustus_d14_DogFecal			V4	C166_36	Dog	Dietary Therapy In Canine Chronic Enteritis	14	Non-diet responsive	English Mastiff	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
12649	Augustus_d42_DogFecal			V4	C166_36	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Non-diet responsive	English Mastiff	Male	2	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10638	Bandit_d0_DogRectal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	Mixed	Male	2	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10639	Bandit_d42_DogRectal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Non-diet responsive	Mixed	Male	1	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
10806	Bandit_d28_DogFecal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	28	Non-diet responsive	Mixed	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10807	Bandit_d42_DogFecal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Non-diet responsive	Mixed	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10815	Bandit_d0_DogFecal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	Mixed	Male	2	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10816	Bandit_d14_DogFecal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	14	Non-diet responsive	Mixed	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10943	Bandit_d0_DogFecal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	Mixed	Male	2	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10944	Bandit_d14_DogFecal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	14	Non-diet responsive	Mixed	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10945	Bandit_d28_DogFecal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	28	Non-diet responsive	Mixed	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10946	Bandit_d42_DogFecal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	42	Non-diet responsive	Mixed	Male	1	Colon	UBERON:feces	Colon	Stool	ENVO:animal-associated habitat
10955	Bandit_d0_DogRectal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	Mixed	Male	2	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11106	Bandit_d0_DogRectal			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	Mixed	Male	2	Rectum	UBERON:feces	Rectum	Rectal swab	ENVO:animal-associated habitat
11181	Bandit_d0_DogDuodenum			V4	C166_01	Dog	Dietary Therapy In Canine Chronic Enteritis	0	Non-diet responsive	Mixed	Male	2	Duodenum	bodily fluid	Duodenum	Duodenum biopsy	ENVO:animal-associated habitat
