name	description	sourcemtoverride	samplemtoverride	run_prefix_prep	region	title	host_common_name	host_subject_id	body_site	body_habitat	body_product	sample_type	Site	BodyType	Days post-infection	Treatment	Group	Cage ID	Exp_Cage ID	Lesion score	Thickness	Cured	No. Treatment	Lesion Size	Lesion Duration	ExtractionDate	DTH	host_sex
Sample 10103				MiSeq_1	V4		mouse	1	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		1		0	0.2							
Sample 10104				MiSeq_1	V4		mouse	2	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		1		0	0.2							
Sample 10105				MiSeq_1	V4		mouse	3	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		1		0	0.2							
Sample 10106				MiSeq_1	V4		mouse	4	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		1		0	0.2							
Sample 10107				MiSeq_1	V4		mouse	5	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		1		0	0.2							
Sample 10108				MiSeq_1	V4		mouse	6	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		2		0	0.2							
Sample 10109				MiSeq_1	V4		mouse	7	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		2		0	0.2							
Sample 10110				MiSeq_1	V4		mouse	8	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		2		0	0.2							
Sample 10111				MiSeq_1	V4		mouse	9	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		2		0	0.2							
Sample 10112				MiSeq_1	V4		mouse	10	Colon	UBERON:feces	Colon	Stool			0	Isotype control antibody		2		0	0.2							
Sample 10113				MiSeq_1	V4		mouse	11	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		3		0	0.2							
Sample 10114				MiSeq_1	V4		mouse	12	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		3		0	0.2							
Sample 10115				MiSeq_1	V4		mouse	13	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		3		0	0.2							
Sample 10116				MiSeq_1	V4		mouse	14	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		3		0	0.2							
Sample 10117				MiSeq_1	V4		mouse	15	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		3		0	0.2							
Sample 10118				MiSeq_1	V4		mouse	16	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		4		0	0.2							
Sample 10119				MiSeq_1	V4		mouse	17	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		4		0	0.2							
Sample 10120				MiSeq_1	V4		mouse	18	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		4		0	0.2							
Sample 10121				MiSeq_1	V4		mouse	19	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		4		0	0.2							
Sample 10122				MiSeq_1	V4		mouse	20	Colon	UBERON:feces	Colon	Stool			0	anti-IL12 mAb		4		0	0.2							
Sample 10123				MiSeq_1	V4		mouse	21	Colon	UBERON:feces	Colon	Stool			0	anti-IL10 mAb		5		0	0.2							
Sample 10124				MiSeq_1	V4		mouse	22	Colon	UBERON:feces	Colon	Stool			0	anti-IL10 mAb		5		0	0.2							
Sample 10125				MiSeq_1	V4		mouse	23	Colon	UBERON:feces	Colon	Stool			0	anti-IL10 mAb		5		0	0.2							
Sample 10126				MiSeq_1	V4		mouse	24	Colon	UBERON:feces	Colon	Stool			0	anti-IL10 mAb		5		0	0.2							
Sample 10127				MiSeq_1	V4		mouse	25	Colon	UBERON:feces	Colon	Stool			0	anti-IL10 mAb		5		0	0.2							
Sample 10128				MiSeq_1	V4		mouse	26	Colon	UBERON:feces	Colon	Stool			0	anti-IL10 mAb		6		0	0.2							
Sample 10129				MiSeq_1	V4		mouse	27	Colon	UBERON:feces	Colon	Stool			0	anti-IL10 mAb		6		0	0.2							
Sample 10130				MiSeq_1	V4		mouse	28	Colon	UBERON:feces	Colon	Stool			0	anti-IL10 mAb		6		0	0.2							
Sample 10131				MiSeq_1	V4		mouse	29	Colon	UBERON:feces	Colon	Stool			0	anti-IL10 mAb		6		0	0.2							
Sample 10132				MiSeq_1	V4		mouse	30	Colon	UBERON:feces	Colon	Stool			0	anti-IL10 mAb		6		0	0.2							
Sample 10134				MiSeq_1	V4		mouse	1	Colon	UBERON:feces	Colon	Stool			14	Isotype control antibody		1		0	0.2							
Sample 10135				MiSeq_1	V4		mouse	2	Colon	UBERON:feces	Colon	Stool			14	Isotype control antibody		1		0	0.2							
Sample 10136				MiSeq_1	V4		mouse	3	Colon	UBERON:feces	Colon	Stool			14	Isotype control antibody		1		0	0.2							
Sample 10137				MiSeq_1	V4		mouse	4	Colon	UBERON:feces	Colon	Stool			14	Isotype control antibody		1		0	0.2							
Sample 10138				MiSeq_1	V4		mouse	5	Colon	UBERON:feces	Colon	Stool			14	Isotype control antibody		1		0	0.2							
Sample 10139				MiSeq_1	V4		mouse	6	Colon	UBERON:feces	Colon	Stool			14	Isotype control antibody		2		0	0.2							
Sample 10140				MiSeq_1	V4		mouse	7	Colon	UBERON:feces	Colon	Stool			14	Isotype control antibody		2		0	0.2							
Sample 10141				MiSeq_1	V4		mouse	8	Colon	UBERON:feces	Colon	Stool			14	Isotype control antibody		2		0	0.2							
Sample 10142				MiSeq_1	V4		mouse	9	Colon	UBERON:feces	Colon	Stool			14	Isotype control antibody		2		0	0.2							
Sample 10143				MiSeq_1	V4		mouse	10	Colon	UBERON:feces	Colon	Stool			14	Isotype control antibody		2		0	0.2							
Sample 10144				MiSeq_1	V4		mouse	11	Colon	UBERON:feces	Colon	Stool			14	anti-IL12 mAb		3		0	0.2							
Sample 10145				MiSeq_1	V4		mouse	12	Colon	UBERON:feces	Colon	Stool			14	anti-IL12 mAb		3		0	0.2							
Sample 10146				MiSeq_1	V4		mouse	13	Colon	UBERON:feces	Colon	Stool			14	anti-IL12 mAb		3		0	0.2							
Sample 10147				MiSeq_1	V4		mouse	14	Colon	UBERON:feces	Colon	Stool			14	anti-IL12 mAb		3		0	0.2							
Sample 10148				MiSeq_1	V4		mouse	15	Colon	UBERON:feces	Colon	Stool			14	anti-IL12 mAb		3		0	0.2							
Sample 10149				MiSeq_1	V4		mouse	16	Colon	UBERON:feces	Colon	Stool			14	anti-IL12 mAb		4		0	0.2							
Sample 10150				MiSeq_1	V4		mouse	17	Colon	UBERON:feces	Colon	Stool			14	anti-IL12 mAb		4		0	0.2							
Sample 10151				MiSeq_1	V4		mouse	18	Colon	UBERON:feces	Colon	Stool			14	anti-IL12 mAb		4		0	0.2							
Sample 10152				MiSeq_1	V4		mouse	19	Colon	UBERON:feces	Colon	Stool			14	anti-IL12 mAb		4		0	0.2							
